strategy,count,delta,kappa,sim,seed
MF,66.9848,0.35,0.4,115,47
IL,97.5128,0.69,0.4,116,45
MF,22.4872,0.69,0.4,116,45
IL,42.9136,0.23,0.4,117,47
MF,77.0864,0.23,0.4,117,47
IL,69.4056,0.53,0.4,118,50
MF,50.5944,0.53,0.4,118,50
IL,78.1232,0.53,0.4,119,44
MF,41.8768,0.53,0.4,119,44
IL,38.3388,0.11,0.4,120,45
MF,81.6612,0.11,0.4,120,45
IL,105.2088,0.92,0.4,121,49
MF,14.7912,0.92,0.4,121,49
IL,78.7604,0.61,0.4,122,46
MF,41.2396,0.61,0.4,122,46
IL,30.6268,0.11,0.4,123,51
MF,89.3732,0.11,0.4,123,51
IL,90.948,0.66,0.4,124,48
MF,29.052,0.66,0.4,124,48
IL,49.4624,0.47,0.4,125,43
MF,70.5376,0.47,0.4,125,43
IL,103.1684,0.95,0.4,126,47
MF,16.8316,0.95,0.4,126,47
IL,17.2832,0.08,0.4,127,48
MF,102.7168,0.08,0.4,127,48
IL,34.4036,0.29,0.4,128,43
MF,85.5964,0.29,0.4,128,43
IL,20.19,0.05,0.4,129,42
MF,99.81,0.05,0.4,129,42
IL,33.6948,0.24,0.4,130,49
MF,86.3052,0.24,0.4,130,49
IL,105.638,0.95,0.4,131,43
MF,14.362,0.95,0.4,131,43
IL,57.1524,0.37,0.4,132,44
MF,62.8476,0.37,0.4,132,44
IL,57.9516,0.37,0.4,133,50
MF,62.0484,0.37,0.4,133,50
IL,103.4284,0.98,0.4,134,49
MF,16.94437627811861,0.98,0.4,134,49
IL,66.9288,0.47,0.4,135,47
MF,53.0712,0.47,0.4,135,47
IL,98.8872,0.75,0.4,136,51
MF,21.1128,0.75,0.4,136,51
IL,12.326,0.05,0.4,137,46
MF,107.674,0.05,0.4,137,46
IL,83.7924,0.59,0.4,138,44
MF,36.2076,0.59,0.4,138,44
IL,89.144,0.59,0.4,139,50
MF,30.856,0.59,0.4,139,50
IL,98.6676,0.75,0.4,140,45
MF,21.3324,0.75,0.4,140,45
IL,59.9576,0.29,0.4,141,47
MF,60.0424,0.29,0.4,141,47
IL,93.6144,0.81,0.4,142,50
MF,26.3856,0.81,0.4,142,50
IL,54.546,0.4,0.4,143,45
MF,65.454,0.4,0.4,143,45
IL,33.2732,0.23,0.4,144,43
MF,86.7268,0.23,0.4,144,43
IL,13.9432,0.02,0.4,145,48
MF,106.0568,0.02,0.4,145,48
IL,87.1936,0.81,0.4,146,44
MF,32.8064,0.81,0.4,146,44
IL,48.2584,0.4,0.4,147,51
MF,71.7416,0.4,0.4,147,51
IL,90.7088,0.61,0.4,148,42
MF,29.2912,0.61,0.4,148,42
IL,107.206,0.89,0.4,149,47
MF,12.794,0.89,0.4,149,47
IL,76.7472,0.56,0.4,150,49
MF,43.2528,0.56,0.4,150,49
IL,90.96,0.77,0.4,151,42
MF,29.04,0.77,0.4,151,42
IL,60.3644,0.35,0.4,152,43
MF,59.6356,0.35,0.4,152,43
IL,111.9504,0.97,0.4,153,44
MF,8.0496,0.97,0.4,153,44
IL,21.3848,0.14,0.4,154,48
MF,98.6152,0.14,0.4,154,48
IL,110.32,0.97,0.4,155,50
MF,9.68,0.97,0.4,155,50
IL,48.5072,0.38,0.4,156,49
MF,71.4928,0.38,0.4,156,49
IL,38.3052,0.19,0.4,157,42
MF,81.6948,0.19,0.4,157,42
IL,102.1988,0.63,0.4,158,45
MF,17.8012,0.63,0.4,158,45
IL,25.7864,0.13,0.4,159,46
MF,94.2136,0.13,0.4,159,46
IL,89.1424,0.63,0.4,160,51
MF,30.8576,0.63,0.4,160,51
IL,70.8176,0.51,0.4,161,47
MF,49.1824,0.51,0.4,161,47
IL,31.176,0.21,0.4,162,50
MF,88.824,0.21,0.4,162,50
IL,81.3468,0.6,0.4,163,42
MF,38.6532,0.6,0.4,163,42
IL,105.3912,0.83,0.4,164,43
MF,14.6088,0.83,0.4,164,43
IL,24.4848,0.21,0.4,165,44
MF,95.5152,0.21,0.4,165,44
IL,103.9756,0.83,0.4,166,42
MF,16.0244,0.83,0.4,166,42
IL,29.018,0.21,0.4,167,45
MF,90.982,0.21,0.4,167,45
IL,40.0392,0.21,0.4,168,51
MF,79.9608,0.21,0.4,168,51
IL,70.3192,0.51,0.4,169,46
MF,49.6808,0.51,0.4,169,46
