strategy,avg_payoff,delta,lambda,kappa,sim,seed
MB,0.3897316111405872,0.17,0.1,0.4,105,46
MF,0.403044734367563,0.17,0.1,0.4,105,46
IL,0.5947601124759866,0.25,0.2,0.4,106,45
MB,0.4102831489105139,0.25,0.2,0.4,106,45
MF,0.4647811715619703,0.25,0.2,0.4,106,45
IL,0.5944044347490409,0.01,0.2,0.4,107,43
MB,0.6060299645863895,0.01,0.2,0.4,107,43
MF,0.8031061785160751,0.01,0.2,0.4,107,43
IL,0.5949910532986612,0.63,0.2,0.4,108,51
MB,0.4006039728849193,0.63,0.2,0.4,108,51
MF,0.21070834943607897,0.63,0.2,0.4,108,51
IL,0.5952676575306584,0.91,0.2,0.4,109,49
MB,0.6309507127183107,0.91,0.2,0.4,109,49
MF,0.08828104838357227,0.91,0.2,0.4,109,49
IL,0.5947104186393647,0.51,0.1,0.4,110,46
MB,0.5636575188016765,0.51,0.1,0.4,110,46
MF,0.3089333402426021,0.51,0.1,0.4,110,46
IL,0.5950458982625713,0.63,0.2,0.4,111,45
MB,0.457328640776694,0.63,0.2,0.4,111,45
MF,0.258900933624255,0.63,0.2,0.4,111,45
IL,0.5953317300065488,0.47,0.2,0.4,112,43
MB,0.5345800645276386,0.47,0.2,0.4,112,43
MF,0.410974008053595,0.47,0.2,0.4,112,43
IL,0.5949582823960133,0.36,0.2,0.4,113,43
MB,0.4061480679225286,0.36,0.2,0.4,113,43
MF,0.3997545223793379,0.36,0.2,0.4,113,43
IL,0.5952132104136877,0.12,0.2,0.4,114,45
MB,0.305214479619834,0.12,0.2,0.4,114,45
MF,0.45103038450008026,0.12,0.2,0.4,114,45
IL,0.5949037188844416,0.5,0.2,0.4,115,43
MB,0.506211036601998,0.5,0.2,0.4,115,43
MF,0.37129011591217553,0.5,0.2,0.4,115,43
IL,0.5952387801263488,0.12,0.2,0.4,116,51
MB,0.5328768256264245,0.12,0.2,0.4,116,51
MF,0.6446111421139172,0.12,0.2,0.4,116,51
IL,0.5952692545984364,0.96,0.3,0.4,117,47
MB,0.5975866452966873,0.96,0.3,0.4,117,47
MF,0.02015854051398449,0.96,0.3,0.4,117,47
IL,0.5950151470900498,0.66,0.1,0.4,118,46
MB,0.47927435680928493,0.66,0.1,0.4,118,46
MF,0.1997729061830677,0.66,0.1,0.4,118,46
IL,0.5951309574710739,0.54,0.2,0.4,119,45
MB,0.5899559537292786,0.54,0.2,0.4,119,45
MF,0.37081012761097,0.54,0.2,0.4,119,45
IL,0.5950595213722697,0.54,0.2,0.4,120,51
MB,0.6004170139399516,0.54,0.2,0.4,120,51
MF,0.3431408867759346,0.54,0.2,0.4,120,51
IL,0.5946349000897454,0.13,0.1,0.4,121,50
MB,0.336727394980804,0.13,0.1,0.4,121,50
MF,0.3747169369314852,0.13,0.1,0.4,121,50
IL,0.5950874122185119,0.59,0.3,0.4,122,51
MB,0.4950626765179506,0.59,0.3,0.4,122,51
MF,0.308987392584218,0.59,0.3,0.4,122,51
IL,0.5948915037801749,0.11,0.3,0.4,123,49
MB,0.431327639163005,0.11,0.3,0.4,123,49
MF,0.6510915308454897,0.11,0.3,0.4,123,49
IL,0.5949981056624756,0.59,0.3,0.4,124,45
MB,0.3934144591201602,0.59,0.3,0.4,124,45
MF,0.2708646014311339,0.59,0.3,0.4,124,45
IL,0.5948380048030137,0.37,0.1,0.4,125,42
MB,0.5886260212173047,0.37,0.1,0.4,125,42
MF,0.4306944663108161,0.37,0.1,0.4,125,42
IL,0.5953129895409028,0.13,0.1,0.4,126,44
MB,0.4749292825636172,0.13,0.1,0.4,126,44
MF,0.5090369531452821,0.13,0.1,0.4,126,44
IL,0.5947936239836428,0.21,0.2,0.4,127,47
MB,0.30720777833416074,0.21,0.2,0.4,127,47
MF,0.41206081266010053,0.21,0.2,0.4,127,47
IL,0.5939422991139878,0.4,0.1,0.4,128,42
MB,0.27068474749410826,0.4,0.1,0.4,128,42
MF,0.2276236854364979,0.4,0.1,0.4,128,42
IL,0.5944023710792956,0.55,0.1,0.4,129,50
MB,0.33611034522414934,0.55,0.1,0.4,129,50
MF,0.2063555333261186,0.55,0.1,0.4,129,50
IL,0.5949911818863918,0.8,0.3,0.4,130,43
MB,0.4925837500209462,0.8,0.3,0.4,130,43
MF,0.1786863607923968,0.8,0.3,0.4,130,43
IL,0.5947206846188565,0.71,0.1,0.4,131,42
MB,0.48926493050353176,0.71,0.1,0.4,131,42
MF,0.1772876775161658,0.71,0.1,0.4,131,42
IL,0.5948982433445645,0.55,0.1,0.4,132,44
MB,0.5428300497205547,0.55,0.1,0.4,132,44
MF,0.3055896172679118,0.55,0.1,0.4,132,44
IL,0.5952601825737689,0.67,0.2,0.4,133,47
MB,0.5005462563303349,0.67,0.2,0.4,133,47
MF,0.216328573270807,0.67,0.2,0.4,133,47
IL,0.5949121883419605,0.57,0.3,0.4,134,49
MB,0.3363947606464169,0.57,0.3,0.4,134,49
MF,0.26824669416303215,0.57,0.3,0.4,134,49
IL,0.5950046316312939,0.81,0.3,0.4,135,43
MB,0.3560870356582167,0.81,0.3,0.4,135,43
MF,0.10709102731053667,0.81,0.3,0.4,135,43
IL,0.5949065011298793,0.42,0.3,0.4,136,47
MB,0.12484395399990442,0.42,0.3,0.4,136,47
MF,0.2552194652366195,0.42,0.3,0.4,136,47
IL,0.5954043089005091,0.08,0.1,0.4,137,46
MB,0.7328026107170763,0.08,0.1,0.4,137,46
MF,0.7594652698548839,0.08,0.1,0.4,137,46
IL,0.594593082552972,0.72,0.2,0.4,138,49
MB,0.5933632847616817,0.72,0.2,0.4,138,49
MF,0.21082925185925186,0.72,0.2,0.4,138,49
IL,0.5948239714869918,0.9,0.2,0.4,139,45
MB,0.4109543212228219,0.9,0.2,0.4,139,45
MF,0.04677315671081515,0.9,0.2,0.4,139,45
IL,0.5949551849595051,0.9,0.2,0.4,140,51
MB,0.6135667552124027,0.9,0.2,0.4,140,51
MF,0.1059090420543331,0.9,0.2,0.4,140,51
IL,0.5946032227873703,0.7,0.2,0.4,141,49
MB,0.22033110495951327,0.7,0.2,0.4,141,49
MF,0.12129733511676032,0.7,0.2,0.4,141,49
IL,0.5951371401231189,0.34,0.2,0.4,142,49
MB,0.46907725143189366,0.34,0.2,0.4,142,49
MF,0.4572921031503971,0.34,0.2,0.4,142,49
IL,0.5952621139986828,0.58,0.2,0.4,143,43
MB,0.5473499190268194,0.58,0.2,0.4,143,43
MF,0.32231260681039314,0.58,0.2,0.4,143,43
IL,0.5948170171914253,0.04,0.3,0.4,144,47
MB,0.35965374114774107,0.04,0.3,0.4,144,47
MF,0.6305913127725096,0.04,0.3,0.4,144,47
IL,0.5951541262373979,0.8,0.1,0.4,145,50
MB,0.5647680414208132,0.8,0.1,0.4,145,50
MF,0.12421552925294772,0.8,0.1,0.4,145,50
IL,0.5950826646214756,0.71,0.3,0.4,146,51
MB,0.46290493262735843,0.71,0.3,0.4,146,51
MF,0.17963971772523452,0.71,0.3,0.4,146,51
IL,0.5949381899600197,0.81,0.1,0.4,147,50
MB,0.5099024530379548,0.81,0.1,0.4,147,50
MF,0.11869907095828149,0.81,0.1,0.4,147,50
IL,0.5948714483471361,0.73,0.1,0.4,148,48
MB,0.5515214907524919,0.73,0.1,0.4,148,48
MF,0.16153577072850123,0.73,0.1,0.4,148,48
IL,0.5944277094986723,0.81,0.1,0.4,149,44
MB,0.38792935623853836,0.81,0.1,0.4,149,44
MF,0.09683254540780856,0.81,0.1,0.4,149,44
IL,0.5954937654202402,0.09,0.2,0.4,150,47
MB,0.5633797502829383,0.09,0.2,0.4,150,47
MF,0.6849945670277947,0.09,0.2,0.4,150,47
IL,0.5948953680159701,0.39,0.3,0.4,151,49
MB,0.2802051633172706,0.39,0.3,0.4,151,49
MF,0.33537140737051113,0.39,0.3,0.4,151,49
IL,0.5950305078696586,0.83,0.3,0.4,152,49
MB,0.5678500318187899,0.83,0.3,0.4,152,49
MF,0.18785276506361492,0.83,0.3,0.4,152,49
IL,0.5950937621178031,0.71,0.3,0.4,153,45
MB,0.4006563010437048,0.71,0.3,0.4,153,45
MF,0.17428360024434109,0.71,0.3,0.4,153,45
IL,0.5951177561747606,0.55,0.3,0.4,154,43
MB,0.38908184579373756,0.55,0.3,0.4,154,43
MF,0.31200816801570563,0.55,0.3,0.4,154,43
IL,0.5952318960786958,0.8,0.1,0.4,155,44
MB,0.6860885212623837,0.8,0.1,0.4,155,44
MF,0.15797425685425684,0.8,0.1,0.4,155,44
IL,0.5951401575148277,0.37,0.3,0.4,156,51
MB,0.33598354079011716,0.37,0.3,0.4,156,51
MF,0.39631673056737793,0.37,0.3,0.4,156,51
IL,0.5949471825057212,0.4,0.3,0.4,157,51
MB,0.2086881408753064,0.4,0.3,0.4,157,51
MF,0.27768383490610815,0.4,0.3,0.4,157,51
IL,0.5948823971104644,0.6,0.1,0.4,158,48
MB,0.40765504555437193,0.6,0.1,0.4,158,48
MF,0.19943334271965912,0.6,0.1,0.4,158,48
IL,0.5949018810788703,0.4,0.3,0.4,159,45
MB,0.3371950189763796,0.4,0.3,0.4,159,45
MF,0.39074512105414394,0.4,0.3,0.4,159,45
IL,0.5951681601104604,0.37,0.3,0.4,160,45
MB,0.38978798733171965,0.37,0.3,0.4,160,45
MF,0.427468679129059,0.37,0.3,0.4,160,45
IL,0.5948339885181897,0.13,0.3,0.4,161,43
MB,0.12119296286968176,0.13,0.3,0.4,161,43
MF,0.3786644699484698,0.13,0.3,0.4,161,43
IL,0.5952269345981966,0.59,0.1,0.4,162,42
MB,0.48348983375157456,0.59,0.1,0.4,162,42
MF,0.23503718103311744,0.59,0.1,0.4,162,42
IL,0.5948053624160646,0.35,0.1,0.4,163,48
MB,0.23446412338723363,0.35,0.1,0.4,163,48
MF,0.21417659166163275,0.35,0.1,0.4,163,48
IL,0.5949664526242981,0.62,0.3,0.4,164,43
MB,0.44757756010772765,0.62,0.3,0.4,164,43
MF,0.2610874378486907,0.62,0.3,0.4,164,43
IL,0.5950796373257662,0.46,0.3,0.4,165,45
MB,0.5024601056600286,0.46,0.3,0.4,165,45
MF,0.43195673327237444,0.46,0.3,0.4,165,45
IL,0.5951965051200419,0.44,0.1,0.4,166,48
MB,0.5051558951438466,0.44,0.1,0.4,166,48
MF,0.3590462167063679,0.44,0.1,0.4,166,48
