strategy,avg_payoff,delta,kappa,seed,sim
MF,0.38035816999232513,0.47,0.4,47,135
IL,0.595054847103278,0.75,0.4,51,136
MF,0.18428257439302914,0.75,0.4,51,136
IL,0.5947446691144186,0.05,0.4,46,137
MF,0.6355733565926837,0.05,0.4,46,137
IL,0.5950264705396661,0.59,0.4,44,138
MF,0.3235544605428273,0.59,0.4,44,138
IL,0.5950705638669478,0.59,0.4,50,139
MF,0.32991683479158185,0.59,0.4,50,139
IL,0.5950298434497113,0.75,0.4,45,140
MF,0.21087619424751025,0.75,0.4,45,140
IL,0.5951211708668523,0.29,0.4,47,141
MF,0.5286487930570061,0.29,0.4,47,141
IL,0.5949518109314362,0.81,0.4,50,142
MF,0.15845250121959253,0.81,0.4,50,142
IL,0.5948900032542701,0.4,0.4,45,143
MF,0.41994007389328525,0.4,0.4,45,143
IL,0.594894444916448,0.23,0.4,43,144
MF,0.4607929209095897,0.23,0.4,43,144
IL,0.5951596730781938,0.02,0.4,48,145
MF,0.8364068920204065,0.02,0.4,48,145
IL,0.5950003439334105,0.81,0.4,44,146
MF,0.14089123860062147,0.81,0.4,44,146
IL,0.5948437656057607,0.4,0.4,51,147
MF,0.3299696166720035,0.4,0.4,51,147
IL,0.5950786978238776,0.61,0.4,42,148
MF,0.32008517988779744,0.61,0.4,42,148
IL,0.5950126741380058,0.89,0.4,47,149
MF,0.10672441964921006,0.89,0.4,47,149
IL,0.5949812524539766,0.56,0.4,49,150
MF,0.31931195627752607,0.56,0.4,49,150
IL,0.5949778519060634,0.77,0.4,42,151
MF,0.17754637750513202,0.77,0.4,42,151
IL,0.5949625487772189,0.35,0.4,43,152
MF,0.487351218294318,0.35,0.4,43,152
IL,0.5950324792070092,0.97,0.4,44,153
MF,0.043765886727651436,0.97,0.4,44,153
IL,0.594841649656671,0.14,0.4,48,154
MF,0.5288616521584882,0.14,0.4,48,154
IL,0.5949955863987964,0.97,0.4,50,155
MF,0.005562954711616038,0.97,0.4,50,155
IL,0.5950338240480487,0.38,0.4,49,156
MF,0.400760716645953,0.38,0.4,49,156
IL,0.5953897003764176,0.19,0.4,42,157
MF,0.5464623316245188,0.19,0.4,42,157
IL,0.595074770035293,0.63,0.4,45,158
MF,0.35557362895510264,0.63,0.4,45,158
IL,0.5947999842514422,0.13,0.4,46,159
MF,0.5876826639176016,0.13,0.4,46,159
IL,0.5950561560258146,0.63,0.4,51,160
MF,0.2939441815929052,0.63,0.4,51,160
IL,0.5949538415733958,0.51,0.4,47,161
MF,0.3550044014406328,0.51,0.4,47,161
IL,0.5950755983330396,0.21,0.4,50,162
MF,0.49260120990862905,0.21,0.4,50,162
IL,0.5949203635995794,0.6,0.4,42,163
MF,0.3404677020504542,0.6,0.4,42,163
IL,0.5950241484295542,0.83,0.4,43,164
MF,0.14576327513195175,0.83,0.4,43,164
IL,0.5950707376967203,0.21,0.4,44,165
MF,0.4442269845590929,0.21,0.4,44,165
IL,0.5950424291876261,0.83,0.4,42,166
MF,0.1369000056465075,0.83,0.4,42,166
IL,0.5952421307837811,0.21,0.4,45,167
MF,0.4818026848714012,0.21,0.4,45,167
IL,0.5947965147247241,0.21,0.4,51,168
MF,0.5236797077046922,0.21,0.4,51,168
IL,0.5948405382650646,0.51,0.4,46,169
MF,0.33627947694047367,0.51,0.4,46,169
IL,0.5950278703135609,0.6,0.4,43,170
MF,0.30981799451451336,0.6,0.4,43,170
IL,0.5949687074515244,0.63,0.4,50,171
MF,0.23745541601258383,0.63,0.4,50,171
IL,0.5950598625016453,0.13,0.4,47,172
MF,0.5631186849329932,0.13,0.4,47,172
IL,0.5948529513149983,0.63,0.4,44,173
MF,0.29853540515747556,0.63,0.4,44,173
IL,0.59496287897443,0.38,0.4,48,174
MF,0.4514634182577264,0.38,0.4,48,174
IL,0.5950384849011638,0.97,0.4,51,175
MF,0.030172051912048005,0.97,0.4,51,175
IL,0.5951589830322487,0.19,0.4,43,176
MF,0.5371303454716181,0.19,0.4,43,176
IL,0.5949237691669947,0.35,0.4,42,177
MF,0.43534507434269665,0.35,0.4,42,177
IL,0.5950623921408753,0.14,0.4,49,178
MF,0.5559976876540286,0.14,0.4,49,178
IL,0.595022763797307,0.97,0.4,45,179
MF,0.022042442276906674,0.97,0.4,45,179
IL,0.594963226093302,0.56,0.4,48,180
MF,0.3442995631413074,0.56,0.4,48,180
IL,0.5949837683238688,0.89,0.4,46,181
MF,0.11251894392921422,0.89,0.4,46,181
IL,0.5950460104998592,0.77,0.4,43,182
MF,0.2536196332820844,0.77,0.4,43,182
IL,0.5950953088399382,0.61,0.4,43,183
MF,0.3059653722684271,0.61,0.4,43,183
IL,0.5950676113687847,0.23,0.4,42,184
MF,0.4986046011423517,0.23,0.4,42,184
IL,0.5949579461108113,0.4,0.4,50,185
MF,0.3940981542330868,0.4,0.4,50,185
IL,0.5950060522435466,0.81,0.4,45,186
MF,0.15664276917837777,0.81,0.4,45,186
IL,0.5950334325016722,0.02,0.4,49,187
MF,0.8595519494845159,0.02,0.4,49,187
IL,0.5950401767149346,0.4,0.4,44,188
MF,0.3905321809432613,0.4,0.4,44,188
IL,0.5950205314331238,0.81,0.4,51,189
MF,0.15898134036228947,0.81,0.4,51,189
IL,0.5950991527804075,0.29,0.4,46,190
MF,0.5021326005441544,0.29,0.4,46,190
IL,0.5950326763235662,0.75,0.4,44,191
MF,0.21127455004110185,0.75,0.4,44,191
IL,0.5950239120254477,0.59,0.4,51,192
MF,0.31417096910220793,0.59,0.4,51,192
IL,0.5950154537266682,0.59,0.4,45,193
MF,0.31599488889636296,0.59,0.4,45,193
IL,0.5950424074894908,0.05,0.4,47,194
MF,0.6832360542879825,0.05,0.4,47,194
IL,0.5951092024231731,0.75,0.4,50,195
MF,0.24755102790956002,0.75,0.4,50,195
IL,0.5950226879959398,0.47,0.4,46,196
MF,0.39788711850321995,0.47,0.4,46,196
IL,0.5949380341984648,0.98,0.4,48,197
MF,-0.011719081246677423,0.98,0.4,48,197
IL,0.5951076736811814,0.37,0.4,51,198
MF,0.4257342913694639,0.37,0.4,51,198
IL,0.5950205482036647,0.95,0.4,42,199
MF,0.0343457355888006,0.95,0.4,42,199
IL,0.5949919083246936,0.37,0.4,45,200
MF,0.3796490158699843,0.37,0.4,45,200
IL,0.5950875680874312,0.47,0.4,44,201
MF,0.4339839672269819,0.47,0.4,44,201
IL,0.5949519400948795,0.47,0.4,50,202
MF,0.3833513496284077,0.47,0.4,50,202
IL,0.595015973222558,0.37,0.4,47,203
MF,0.3904193669248076,0.37,0.4,47,203
IL,0.5943344592598618,0.05,0.4,51,204
MF,0.6901669323091982,0.05,0.4,51,204
IL,0.5951369992345344,0.3,0.4,48,205
MF,0.5046540690920471,0.3,0.4,48,205
IL,0.5950246835364076,0.75,0.4,46,206
MF,0.19659610224323265,0.75,0.4,46,206
IL,0.5951375961876862,0.29,0.4,44,207
MF,0.5246633839685164,0.29,0.4,44,207
IL,0.5949398694552329,0.86,0.4,49,208
MF,0.1341616868253117,0.86,0.4,49,208
IL,0.5950486726856324,0.29,0.4,50,209
MF,0.4620644050890023,0.29,0.4,50,209
IL,0.5951921921666643,0.05,0.4,45,210
MF,0.7563018199920502,0.05,0.4,45,210
IL,0.595065859898711,0.59,0.4,47,211
MF,0.30581248823105656,0.59,0.4,47,211
IL,0.595036153891356,0.81,0.4,47,212
MF,0.14638194311936545,0.81,0.4,47,212
IL,0.5949867287388959,0.53,0.4,43,213
MF,0.3247829677547901,0.53,0.4,43,213
IL,0.595048107512836,0.72,0.4,48,214
MF,0.19467939045630075,0.72,0.4,48,214
IL,0.5949516674312455,0.4,0.4,46,215
MF,0.40712430943015243,0.4,0.4,46,215
IL,0.5951750369307957,0.11,0.4,42,216
MF,0.6555144376972154,0.11,0.4,42,216
IL,0.5949962978963733,1.0,0.4,48,217
MF,-0.01873464737189195,1.0,0.4,48,217
IL,0.5949564537704493,0.89,0.4,44,218
MF,0.07215056698825471,0.89,0.4,44,218
IL,0.5950614499111458,0.26,0.4,49,219
MF,0.4879301895180797,0.26,0.4,49,219
IL,0.5949704883136846,0.89,0.4,50,220
MF,0.08982090409146434,0.89,0.4,50,220
IL,0.5948965334450447,0.07,0.4,42,221
MF,0.6867592888805695,0.07,0.4,42,221
IL,0.5950620851554148,0.45,0.4,43,222
MF,0.40480495170868813,0.45,0.4,43,222
IL,0.5949619522249412,0.64,0.4,48,223
MF,0.26541354149320273,0.64,0.4,48,223
IL,0.5949091573782236,0.97,0.4,47,224
MF,0.02697565602413545,0.97,0.4,47,224
IL,0.5948841841383482,0.48,0.4,49,225
MF,0.3555435392047442,0.48,0.4,49,225
IL,0.5949271152429982,0.69,0.4,42,226
MF,0.23797128511388832,0.69,0.4,42,226
IL,0.5953049361785805,0.13,0.4,45,227
MF,0.6341591407553951,0.13,0.4,45,227
IL,0.5951352924939102,0.63,0.4,46,228
MF,0.32369422542036547,0.63,0.4,46,228
IL,0.595021072788462,0.13,0.4,51,229
MF,0.5659823704437403,0.13,0.4,51,229
IL,0.5952204027575516,0.21,0.4,47,230
MF,0.5391112878308003,0.21,0.4,47,230
IL,0.5951027092841916,0.51,0.4,50,231
MF,0.398613058415655,0.51,0.4,50,231
IL,0.595003121947471,0.51,0.4,44,232
MF,0.3220299681544048,0.51,0.4,44,232
IL,0.5949159941694221,0.51,0.4,45,233
MF,0.36020281990645603,0.51,0.4,45,233
IL,0.5949892528184321,0.51,0.4,51,234
MF,0.3563492683711755,0.51,0.4,51,234
IL,0.5950415691014235,0.21,0.4,46,235
MF,0.5216220149600457,0.21,0.4,46,235
IL,0.5943537471967145,0.13,0.4,50,236
MF,0.42271609887840567,0.13,0.4,50,236
IL,0.5948140478176249,0.63,0.4,47,237
