strategy,count,delta,lambda,kappa,sim,seed
MF,3.257623554153523,1.0,0.1,0.4,1574,48
IL,18.4604,0.75,0.2,0.4,1575,51
MB,92.4152,0.75,0.2,0.4,1575,51
MF,9.128051220488196,0.75,0.2,0.4,1575,51
IL,7.9388,0.01,0.1,0.4,1576,46
MB,15.176,0.01,0.1,0.4,1576,46
MF,96.8852,0.01,0.1,0.4,1576,46
IL,26.7832,0.33,0.2,0.4,1577,45
MB,42.29,0.33,0.2,0.4,1577,45
MF,50.9268,0.33,0.2,0.4,1577,45
IL,18.7868,0.17,0.2,0.4,1578,43
MB,34.136,0.17,0.2,0.4,1578,43
MF,67.0772,0.17,0.2,0.4,1578,43
IL,21.8028,0.89,0.2,0.4,1579,45
MB,79.6596,0.89,0.2,0.4,1579,45
MF,18.5376,0.89,0.2,0.4,1579,45
IL,7.04578313253012,0.0,0.2,0.4,1580,45
MB,8.718976545842217,0.0,0.2,0.4,1580,45
MF,104.804,0.0,0.2,0.4,1580,45
IL,4.18374118622978,0.0,0.2,0.4,1581,51
MB,10.2216,0.0,0.2,0.4,1581,51
MF,105.7436,0.0,0.2,0.4,1581,51
IL,26.5148,0.33,0.2,0.4,1582,51
MB,32.4736,0.33,0.2,0.4,1582,51
MF,61.0116,0.33,0.2,0.4,1582,51
IL,13.8224,0.89,0.2,0.4,1583,51
MB,77.4152,0.89,0.2,0.4,1583,51
MF,28.78542834267414,0.89,0.2,0.4,1583,51
IL,74.6832,0.84,0.3,0.4,1584,51
MB,36.1204,0.84,0.3,0.4,1584,51
MF,9.1964,0.84,0.3,0.4,1584,51
IL,15.2888,0.74,0.1,0.4,1585,50
MB,91.5636,0.74,0.1,0.4,1585,50
MF,13.770004189359028,0.74,0.1,0.4,1585,50
IL,33.8032,0.74,0.1,0.4,1586,44
MB,73.39,0.74,0.1,0.4,1586,44
MF,12.8068,0.74,0.1,0.4,1586,44
IL,36.7796,0.86,0.1,0.4,1587,48
MB,59.5912,0.86,0.1,0.4,1587,48
MF,23.6292,0.86,0.1,0.4,1587,48
IL,39.7372,0.46,0.2,0.4,1588,47
MB,40.392,0.46,0.2,0.4,1588,47
MF,39.8708,0.46,0.2,0.4,1588,47
IL,23.3488,0.84,0.3,0.4,1589,45
MB,83.0888,0.84,0.3,0.4,1589,45
MF,13.5624,0.84,0.3,0.4,1589,45
IL,40.6444,0.76,0.3,0.4,1590,49
MB,59.8044,0.76,0.3,0.4,1590,49
MF,19.5512,0.76,0.3,0.4,1590,49
IL,14.206,0.1,0.1,0.4,1591,50
MB,26.4624,0.1,0.1,0.4,1591,50
MF,79.3316,0.1,0.1,0.4,1591,50
IL,8.2428,0.88,0.1,0.4,1592,50
MB,106.844,0.88,0.1,0.4,1592,50
MF,5.04435318275154,0.88,0.1,0.4,1592,50
IL,10.9912,0.32,0.1,0.4,1593,50
MB,73.7388,0.32,0.1,0.4,1593,50
MF,35.27,0.32,0.1,0.4,1593,50
IL,59.1096,0.78,0.3,0.4,1594,51
MB,26.3828,0.78,0.3,0.4,1594,51
MF,34.5076,0.78,0.3,0.4,1594,51
IL,56.206,0.78,0.3,0.4,1595,45
MB,44.4388,0.78,0.3,0.4,1595,45
MF,19.3552,0.78,0.3,0.4,1595,45
IL,12.4764,0.88,0.1,0.4,1596,44
MB,104.5116,0.88,0.1,0.4,1596,44
MF,3.0911330049261085,0.88,0.1,0.4,1596,44
IL,15.2844,0.32,0.1,0.4,1597,44
MB,37.722,0.32,0.1,0.4,1597,44
MF,66.9936,0.32,0.1,0.4,1597,44
IL,8.9496,0.16,0.1,0.4,1598,42
MB,25.9256,0.16,0.1,0.4,1598,42
MF,85.1248,0.16,0.1,0.4,1598,42
IL,10.8352,0.1,0.1,0.4,1599,44
MB,14.9392,0.1,0.1,0.4,1599,44
MF,94.2256,0.1,0.1,0.4,1599,44
IL,26.2792,0.3,0.3,0.4,1600,49
MB,12.6272,0.3,0.3,0.4,1600,49
MF,81.0936,0.3,0.3,0.4,1600,49
IL,17.7548,0.09,0.3,0.4,1601,45
MB,11.6816,0.09,0.3,0.4,1601,45
MF,90.5636,0.09,0.3,0.4,1601,45
IL,64.548,0.41,0.3,0.4,1602,49
MB,6.234,0.41,0.3,0.4,1602,49
MF,49.218,0.41,0.3,0.4,1602,49
IL,56.1288,0.97,0.3,0.4,1603,43
MB,39.466,0.97,0.3,0.4,1603,43
MF,24.4052,0.97,0.3,0.4,1603,43
IL,10.0212,0.67,0.1,0.4,1604,42
MB,103.0792,0.67,0.1,0.4,1604,42
MF,6.8996,0.67,0.1,0.4,1604,42
IL,26.0728,0.43,0.1,0.4,1605,44
MB,65.1488,0.43,0.1,0.4,1605,44
MF,28.7784,0.43,0.1,0.4,1605,44
IL,36.2408,0.71,0.2,0.4,1606,47
MB,51.8024,0.71,0.2,0.4,1606,47
MF,31.9568,0.71,0.2,0.4,1606,47
IL,23.1392,0.43,0.1,0.4,1607,50
MB,63.032,0.43,0.1,0.4,1607,50
MF,33.8288,0.43,0.1,0.4,1607,50
IL,17.6316,0.09,0.3,0.4,1608,51
MB,8.779932546374368,0.09,0.3,0.4,1608,51
MF,94.038,0.09,0.3,0.4,1608,51
IL,19.9788,0.21,0.1,0.4,1609,42
MB,28.0328,0.21,0.1,0.4,1609,42
MF,71.9884,0.21,0.1,0.4,1609,42
IL,9.2692,0.05,0.1,0.4,1610,44
MB,30.1748,0.05,0.1,0.4,1610,44
MF,80.556,0.05,0.1,0.4,1610,44
IL,31.2968,0.37,0.2,0.4,1611,47
MB,54.5696,0.37,0.2,0.4,1611,47
MF,34.1336,0.37,0.2,0.4,1611,47
IL,13.402,0.07,0.3,0.4,1612,49
MB,5.881045751633987,0.07,0.3,0.4,1612,49
MF,101.1992,0.07,0.3,0.4,1612,49
IL,45.428,0.4,0.2,0.4,1613,47
MB,23.4664,0.4,0.2,0.4,1613,47
MF,51.1056,0.4,0.2,0.4,1613,47
IL,9.503108164111065,0.05,0.1,0.4,1614,50
MB,10.596,0.05,0.1,0.4,1614,50
MF,100.2316,0.05,0.1,0.4,1614,50
IL,21.0976,0.42,0.2,0.4,1615,51
MB,87.8124,0.42,0.2,0.4,1615,51
MF,11.09,0.42,0.2,0.4,1615,51
IL,28.9016,0.9,0.3,0.4,1616,47
MB,82.9804,0.9,0.3,0.4,1616,47
MF,8.118,0.9,0.3,0.4,1616,47
IL,52.242,0.66,0.2,0.4,1617,43
MB,56.9308,0.66,0.2,0.4,1617,43
MF,10.8272,0.66,0.2,0.4,1617,43
IL,48.0924,0.42,0.2,0.4,1618,45
MB,39.6068,0.42,0.2,0.4,1618,45
MF,32.3008,0.42,0.2,0.4,1618,45
IL,9.442665512765037,0.04,0.2,0.4,1619,51
MB,17.1708,0.04,0.2,0.4,1619,51
MF,94.1004,0.04,0.2,0.4,1619,51
IL,17.38,0.36,0.1,0.4,1620,46
MB,83.7436,0.36,0.1,0.4,1620,46
MF,18.8764,0.36,0.1,0.4,1620,46
IL,15.544,0.04,0.2,0.4,1621,45
MB,14.56,0.04,0.2,0.4,1621,45
MF,89.896,0.04,0.2,0.4,1621,45
IL,11.8304,0.5,0.1,0.4,1622,46
MB,93.346,0.5,0.1,0.4,1622,46
MF,14.8236,0.5,0.1,0.4,1622,46
IL,12.3784,0.04,0.2,0.4,1623,44
MB,17.4892,0.04,0.2,0.4,1623,44
MF,90.1324,0.04,0.2,0.4,1623,44
IL,17.2084,0.36,0.1,0.4,1624,47
MB,47.7912,0.36,0.1,0.4,1624,47
MF,55.0004,0.36,0.1,0.4,1624,47
IL,27.348,0.5,0.1,0.4,1625,47
MB,60.508,0.5,0.1,0.4,1625,47
MF,32.144,0.5,0.1,0.4,1625,47
IL,5.853552859618717,0.04,0.2,0.4,1626,50
MB,9.5104,0.04,0.2,0.4,1626,50
MF,105.0856,0.04,0.2,0.4,1626,50
IL,22.266,0.9,0.3,0.4,1627,46
MB,88.5992,0.9,0.3,0.4,1627,46
MF,9.713738834538495,0.9,0.3,0.4,1627,46
IL,16.2868,0.42,0.2,0.4,1628,44
MB,50.744,0.42,0.2,0.4,1628,44
MF,52.9692,0.42,0.2,0.4,1628,44
IL,17.5124,0.66,0.2,0.4,1629,42
MB,73.066,0.66,0.2,0.4,1629,42
MF,29.4216,0.66,0.2,0.4,1629,42
IL,29.166,0.42,0.2,0.4,1630,50
MB,48.6504,0.42,0.2,0.4,1630,50
MF,42.1836,0.42,0.2,0.4,1630,50
IL,9.2752,0.05,0.1,0.4,1631,51
MB,12.6508,0.05,0.1,0.4,1631,51
MF,98.074,0.05,0.1,0.4,1631,51
IL,9.6176,0.07,0.3,0.4,1632,48
MB,10.0864,0.07,0.3,0.4,1632,48
MF,100.296,0.07,0.3,0.4,1632,48
IL,27.2392,0.37,0.2,0.4,1633,46
MB,26.0744,0.37,0.2,0.4,1633,46
MF,66.6864,0.37,0.2,0.4,1633,46
IL,9.021765417170496,0.05,0.1,0.4,1634,45
MB,15.8608,0.05,0.1,0.4,1634,45
MF,95.186,0.05,0.1,0.4,1634,45
IL,15.8928,0.21,0.1,0.4,1635,43
MB,43.1108,0.21,0.1,0.4,1635,43
MF,60.9964,0.21,0.1,0.4,1635,43
IL,18.0112,0.4,0.2,0.4,1636,46
MB,46.8932,0.4,0.2,0.4,1636,46
MF,55.0956,0.4,0.2,0.4,1636,46
IL,12.0336,0.09,0.3,0.4,1637,50
MB,10.1,0.09,0.3,0.4,1637,50
MF,97.8664,0.09,0.3,0.4,1637,50
IL,17.2544,0.43,0.1,0.4,1638,51
MB,86.7788,0.43,0.1,0.4,1638,51
MF,15.9668,0.43,0.1,0.4,1638,51
IL,23.9656,0.71,0.2,0.4,1639,46
MB,85.4468,0.71,0.2,0.4,1639,46
MF,10.5876,0.71,0.2,0.4,1639,46
IL,16.2684,0.43,0.1,0.4,1640,45
MB,65.8272,0.43,0.1,0.4,1640,45
MF,37.9044,0.43,0.1,0.4,1640,45
IL,18.8868,0.67,0.1,0.4,1641,43
MB,91.64,0.67,0.1,0.4,1641,43
MF,9.4732,0.67,0.1,0.4,1641,43
IL,44.7152,0.97,0.3,0.4,1642,42
MB,63.898,0.97,0.3,0.4,1642,42
MF,11.3868,0.97,0.3,0.4,1642,42
IL,54.0824,0.41,0.3,0.4,1643,48
MB,43.182,0.41,0.3,0.4,1643,48
MF,22.7356,0.41,0.3,0.4,1643,48
IL,10.2624,0.09,0.3,0.4,1644,44
MB,12.481242436466317,0.09,0.3,0.4,1644,44
MF,97.3612,0.09,0.3,0.4,1644,44
IL,14.5484,0.16,0.1,0.4,1645,43
MB,40.4864,0.16,0.1,0.4,1645,43
MF,64.9652,0.16,0.1,0.4,1645,43
IL,16.398,0.32,0.1,0.4,1646,45
MB,48.2932,0.32,0.1,0.4,1646,45
MF,55.3088,0.32,0.1,0.4,1646,45
IL,16.612,0.88,0.1,0.4,1647,45
MB,94.3448,0.88,0.1,0.4,1647,45
MF,9.0432,0.88,0.1,0.4,1647,45
IL,64.6936,0.78,0.3,0.4,1648,44
MB,37.7324,0.78,0.3,0.4,1648,44
MF,17.574,0.78,0.3,0.4,1648,44
IL,54.3276,0.3,0.3,0.4,1649,48
MB,5.0268514508445215,0.3,0.3,0.4,1649,48
MF,61.0296,0.3,0.3,0.4,1649,48
IL,15.6508,0.1,0.1,0.4,1650,45
MB,17.066,0.1,0.1,0.4,1650,45
MF,87.2832,0.1,0.1,0.4,1650,45
IL,8.879421221864952,0.1,0.1,0.4,1651,51
MB,26.0752,0.1,0.1,0.4,1651,51
MF,85.088,0.1,0.1,0.4,1651,51
IL,54.6128,0.78,0.3,0.4,1652,50
MB,52.4128,0.78,0.3,0.4,1652,50
MF,12.9744,0.78,0.3,0.4,1652,50
IL,14.9154478976234,0.32,0.1,0.4,1653,51
MB,80.418,0.32,0.1,0.4,1653,51
MF,26.528,0.32,0.1,0.4,1653,51
IL,14.94387546087669,0.88,0.1,0.4,1654,51
MB,84.3124,0.88,0.1,0.4,1654,51
MF,21.0964,0.88,0.1,0.4,1654,51
IL,52.8208,0.76,0.3,0.4,1655,48
MB,36.5628,0.76,0.3,0.4,1655,48
MF,30.6164,0.76,0.3,0.4,1655,48
IL,30.1832,0.84,0.3,0.4,1656,44
MB,78.0068,0.84,0.3,0.4,1656,44
MF,11.81,0.84,0.3,0.4,1656,44
IL,11.1968,0.86,0.1,0.4,1657,49
MB,98.218,0.86,0.1,0.4,1657,49
MF,10.5852,0.86,0.1,0.4,1657,49
IL,36.9132,0.46,0.2,0.4,1658,46
MB,59.4464,0.46,0.2,0.4,1658,46
MF,23.6404,0.46,0.2,0.4,1658,46
IL,34.1808,0.74,0.1,0.4,1659,45
MB,68.008,0.74,0.1,0.4,1659,45
MF,17.8112,0.74,0.1,0.4,1659,45
IL,8.9916,0.74,0.1,0.4,1660,51
MB,105.4088,0.74,0.1,0.4,1660,51
MF,5.849979105725032,0.74,0.1,0.4,1660,51
IL,76.9896,0.84,0.3,0.4,1661,50
MB,21.7924,0.84,0.3,0.4,1661,50
MF,21.218,0.84,0.3,0.4,1661,50
IL,3.3387163561076605,0.0,0.2,0.4,1662,50
MB,7.128,0.0,0.2,0.4,1662,50
MF,109.6468,0.0,0.2,0.4,1662,50
IL,30.4988,0.89,0.2,0.4,1663,50
MB,66.6024,0.89,0.2,0.4,1663,50
MF,22.8988,0.89,0.2,0.4,1663,50
IL,16.932,0.33,0.2,0.4,1664,50
MB,30.8124,0.33,0.2,0.4,1664,50
MF,72.2556,0.33,0.2,0.4,1664,50
IL,17.712,0.89,0.2,0.4,1665,44
MB,91.8652,0.89,0.2,0.4,1665,44
MF,10.4228,0.89,0.2,0.4,1665,44
IL,12.4324,0.17,0.2,0.4,1666,42
MB,35.6244,0.17,0.2,0.4,1666,42
MF,71.9432,0.17,0.2,0.4,1666,42
IL,42.0728,0.33,0.2,0.4,1667,44
MB,29.6232,0.33,0.2,0.4,1667,44
MF,48.304,0.33,0.2,0.4,1667,44
IL,7.1692,0.01,0.1,0.4,1668,47
MB,78.0828,0.01,0.1,0.4,1668,47
MF,34.748,0.01,0.1,0.4,1668,47
IL,8.0728,0.0,0.2,0.4,1669,44
MB,9.266,0.0,0.2,0.4,1669,44
MF,102.6612,0.0,0.2,0.4,1669,44
IL,31.0604,0.75,0.2,0.4,1670,50
MB,65.3208,0.75,0.2,0.4,1670,50
MF,23.6188,0.75,0.2,0.4,1670,50
IL,9.1612,1.0,0.1,0.4,1671,49
MB,108.0696,1.0,0.1,0.4,1671,49
MF,3.0714285714285716,1.0,0.1,0.4,1671,49
IL,16.528,0.51,0.2,0.4,1672,42
MB,64.5192,0.51,0.2,0.4,1672,42
MF,38.9528,0.51,0.2,0.4,1672,42
IL,31.9868,0.75,0.2,0.4,1673,44
MB,72.0536,0.75,0.2,0.4,1673,44
MF,15.9596,0.75,0.2,0.4,1673,44
IL,24.3104,0.47,0.1,0.4,1674,47
MB,60.298,0.47,0.1,0.4,1674,47
MF,35.3916,0.47,0.1,0.4,1674,47
IL,16.472,0.87,0.2,0.4,1675,48
MB,97.8584,0.87,0.2,0.4,1675,48
MF,5.816167418957735,0.87,0.2,0.4,1675,48
IL,68.8416,0.74,0.3,0.4,1676,42
MB,33.614,0.74,0.3,0.4,1676,42
MF,17.5444,0.74,0.3,0.4,1676,42
IL,15.0764,0.18,0.3,0.4,1677,48
MB,10.132,0.18,0.3,0.4,1677,48
MF,94.7916,0.18,0.3,0.4,1677,48
IL,30.8576,0.28,0.2,0.4,1678,46
MB,69.8552,0.28,0.2,0.4,1678,46
MF,19.2872,0.28,0.2,0.4,1678,46
IL,19.0944,0.84,0.1,0.4,1679,43
MB,94.1828,0.84,0.1,0.4,1679,43
MF,7.861085126286249,0.84,0.1,0.4,1679,43
IL,14.7364,0.92,0.2,0.4,1680,46
MB,99.994,0.92,0.2,0.4,1680,46
MF,5.2696,0.92,0.2,0.4,1680,46
IL,14.2224,0.52,0.1,0.4,1681,49
MB,84.0184,0.52,0.1,0.4,1681,49
MF,21.7592,0.52,0.1,0.4,1681,49
IL,17.0388,0.1,0.3,0.4,1682,42
MB,5.439550140581068,0.1,0.3,0.4,1682,42
MF,98.318,0.1,0.3,0.4,1682,42
IL,17.4096,0.14,0.1,0.4,1683,49
MB,51.5244,0.14,0.1,0.4,1683,49
MF,51.066,0.14,0.1,0.4,1683,49
IL,13.1224,0.78,0.1,0.4,1684,43
MB,92.522,0.78,0.1,0.4,1684,43
MF,14.3556,0.78,0.1,0.4,1684,43
IL,56.3932,0.88,0.3,0.4,1685,42
MB,55.7568,0.88,0.3,0.4,1685,42
MF,7.878362103572862,0.88,0.3,0.4,1685,42
IL,18.028,0.16,0.3,0.4,1686,44
MB,3.898,0.16,0.3,0.4,1686,44
MF,98.074,0.16,0.3,0.4,1686,44
IL,31.2016,0.32,0.3,0.4,1687,42
MB,11.345437616387336,0.32,0.3,0.4,1687,42
MF,79.0504,0.32,0.3,0.4,1687,42
IL,25.366,0.16,0.3,0.4,1688,50
MB,7.214168039538715,0.16,0.3,0.4,1688,50
MF,87.6276,0.16,0.3,0.4,1688,50
IL,25.0132,0.85,0.2,0.4,1689,42
MB,80.92,0.85,0.2,0.4,1689,42
MF,14.0668,0.85,0.2,0.4,1689,42
IL,40.7432,0.53,0.2,0.4,1690,48
MB,44.8828,0.53,0.2,0.4,1690,48
MF,34.374,0.53,0.2,0.4,1690,48
IL,16.9048,0.93,0.1,0.4,1691,47
MB,91.1928,0.93,0.1,0.4,1691,47
MF,11.9024,0.93,0.1,0.4,1691,47
IL,16.7508,0.29,0.1,0.4,1692,47
MB,91.2768,0.29,0.1,0.4,1692,47
MF,11.9724,0.29,0.1,0.4,1692,47
IL,58.2496,0.63,0.3,0.4,1693,46
MB,26.0944,0.63,0.3,0.4,1693,46
MF,35.656,0.63,0.3,0.4,1693,46
IL,37.598,0.25,0.3,0.4,1694,46
MB,11.4068,0.25,0.3,0.4,1694,46
MF,70.9952,0.25,0.3,0.4,1694,46
IL,10.9388,0.79,0.2,0.4,1695,42
MB,101.3568,0.79,0.2,0.4,1695,42
MF,9.115475627070516,0.79,0.2,0.4,1695,42
IL,16.332,0.15,0.2,0.4,1696,48
MB,8.9288,0.15,0.2,0.4,1696,48
MF,94.7392,0.15,0.2,0.4,1696,48
IL,54.7328,0.54,0.3,0.4,1697,46
MB,29.4984,0.54,0.3,0.4,1697,46
MF,35.7688,0.54,0.3,0.4,1697,46
IL,55.872,0.64,0.2,0.4,1698,48
MB,37.95,0.64,0.2,0.4,1698,48
MF,26.178,0.64,0.2,0.4,1698,48
IL,13.31469387755102,0.96,0.2,0.4,1699,44
MB,99.41,0.96,0.2,0.4,1699,44
MF,7.5416,0.96,0.2,0.4,1699,44
IL,10.7332,0.08,0.2,0.4,1700,42
MB,10.6136,0.08,0.2,0.4,1700,42
MF,98.6532,0.08,0.2,0.4,1700,42
IL,42.1524,0.96,0.2,0.4,1701,50
MB,69.6848,0.96,0.2,0.4,1701,50
MF,8.985909291061207,0.96,0.2,0.4,1701,50
IL,26.4264,0.58,0.1,0.4,1702,47
MB,44.0484,0.58,0.1,0.4,1702,47
MF,49.5252,0.58,0.1,0.4,1702,47
IL,31.2964,0.98,0.2,0.4,1703,48
MB,85.674,0.98,0.2,0.4,1703,48
MF,3.2802078822000866,0.98,0.2,0.4,1703,48
IL,19.0212,0.22,0.2,0.4,1704,48
MB,31.2632,0.22,0.2,0.4,1704,48
MF,69.7156,0.22,0.2,0.4,1704,48
IL,22.0692,0.12,0.3,0.4,1705,46
MB,11.372,0.12,0.3,0.4,1705,46
MF,86.5588,0.12,0.3,0.4,1705,46
IL,40.966,0.67,0.3,0.4,1706,50
MB,45.0968,0.67,0.3,0.4,1706,50
MF,33.9372,0.67,0.3,0.4,1706,50
IL,18.3056,0.97,0.1,0.4,1707,51
MB,97.3396,0.97,0.1,0.4,1707,51
MF,4.61704834605598,0.97,0.1,0.4,1707,51
IL,7.8984,0.09,0.1,0.4,1708,43
MB,60.504,0.09,0.1,0.4,1708,43
MF,51.5976,0.09,0.1,0.4,1708,43
IL,10.6508,0.97,0.1,0.4,1709,45
MB,97.0884,0.97,0.1,0.4,1709,45
MF,12.2608,0.97,0.1,0.4,1709,45
IL,36.7368,0.65,0.1,0.4,1710,49
MB,54.8196,0.65,0.1,0.4,1710,49
MF,28.4436,0.65,0.1,0.4,1710,49
IL,33.9816,0.43,0.3,0.4,1711,42
MB,20.88,0.43,0.3,0.4,1711,42
MF,65.1384,0.43,0.3,0.4,1711,42
IL,28.3688,0.67,0.3,0.4,1712,44
MB,72.49,0.67,0.3,0.4,1712,44
MF,19.1412,0.67,0.3,0.4,1712,44
IL,39.5436,0.95,0.3,0.4,1713,48
MB,72.4228,0.95,0.3,0.4,1713,48
MF,8.0336,0.95,0.3,0.4,1713,48
IL,28.9496,0.21,0.3,0.4,1714,50
MB,14.62,0.21,0.3,0.4,1714,50
MF,76.4304,0.21,0.3,0.4,1714,50
IL,63.69,0.69,0.3,0.4,1715,48
MB,40.3688,0.69,0.3,0.4,1715,48
MF,15.9412,0.69,0.3,0.4,1715,48
IL,14.6784,0.05,0.3,0.4,1716,42
MB,16.4368,0.05,0.3,0.4,1716,42
MF,88.8848,0.05,0.3,0.4,1716,42
IL,23.9156,0.21,0.3,0.4,1717,44
MB,10.6852,0.21,0.3,0.4,1717,44
MF,85.3992,0.21,0.3,0.4,1717,44
IL,17.8348,0.23,0.1,0.4,1718,49
MB,47.1592,0.23,0.1,0.4,1718,49
MF,55.006,0.23,0.1,0.4,1718,49
IL,10.938,0.99,0.1,0.4,1719,49
MB,100.1712,0.99,0.1,0.4,1719,49
MF,8.8908,0.99,0.1,0.4,1719,49
IL,16.570554649265905,0.59,0.2,0.4,1720,46
MB,84.8404,0.59,0.2,0.4,1720,46
MF,18.9072,0.59,0.2,0.4,1720,46
IL,34.2728,0.59,0.2,0.4,1721,50
MB,63.1892,0.59,0.2,0.4,1721,50
MF,22.538,0.59,0.2,0.4,1721,50
IL,7.957328385899815,0.59,0.2,0.4,1722,44
MB,95.4152,0.59,0.2,0.4,1722,44
MF,17.7224,0.59,0.2,0.4,1722,44
IL,17.3388,0.11,0.2,0.4,1723,48
MB,11.8772,0.11,0.2,0.4,1723,48
MF,90.784,0.11,0.2,0.4,1723,48
IL,37.4372,0.21,0.3,0.4,1724,46
MB,18.1708,0.21,0.3,0.4,1724,46
MF,64.392,0.21,0.3,0.4,1724,46
IL,17.642,0.8,0.2,0.4,1725,42
MB,89.0604,0.8,0.2,0.4,1725,42
MF,13.2976,0.8,0.2,0.4,1725,42
IL,44.1836,0.67,0.3,0.4,1726,46
MB,40.7016,0.67,0.3,0.4,1726,46
MF,35.1148,0.67,0.3,0.4,1726,46
IL,25.016,0.81,0.2,0.4,1727,42
MB,84.5556,0.81,0.2,0.4,1727,42
MF,10.432573029211685,0.81,0.2,0.4,1727,42
IL,23.4716,0.57,0.2,0.4,1728,48
MB,43.2928,0.57,0.2,0.4,1728,48
MF,53.2356,0.57,0.2,0.4,1728,48
IL,17.658,0.97,0.1,0.4,1729,47
MB,92.2632,0.97,0.1,0.4,1729,47
MF,10.0788,0.97,0.1,0.4,1729,47
IL,37.5604,0.12,0.3,0.4,1730,44
MB,5.157261410788382,0.12,0.3,0.4,1730,44
MF,77.468,0.12,0.3,0.4,1730,44
IL,19.382,0.36,0.3,0.4,1731,42
MB,20.0664,0.36,0.3,0.4,1731,42
MF,80.5516,0.36,0.3,0.4,1731,42
IL,30.0028,0.58,0.1,0.4,1732,45
MB,74.8804,0.58,0.1,0.4,1732,45
MF,15.1168,0.58,0.1,0.4,1732,45
IL,53.61,0.5,0.3,0.4,1733,42
MB,35.3836,0.5,0.3,0.4,1733,42
MF,31.0064,0.5,0.3,0.4,1733,42
IL,11.9164,0.58,0.1,0.4,1734,51
MB,93.9288,0.58,0.1,0.4,1734,51
MF,14.1548,0.58,0.1,0.4,1734,51
IL,15.4716,0.12,0.3,0.4,1735,50
MB,8.128,0.12,0.3,0.4,1735,50
MF,96.4004,0.12,0.3,0.4,1735,50
IL,19.8456,0.9,0.1,0.4,1736,43
MB,92.4408,0.9,0.1,0.4,1736,43
MF,7.7136,0.9,0.1,0.4,1736,43
IL,24.3,0.96,0.2,0.4,1737,46
MB,90.7264,0.96,0.2,0.4,1737,46
MF,5.257505285412262,0.96,0.2,0.4,1737,46
IL,9.7864,0.56,0.1,0.4,1738,49
MB,99.3196,0.56,0.1,0.4,1738,49
MF,11.58936170212766,0.56,0.1,0.4,1738,49
IL,66.042,0.54,0.3,0.4,1739,44
MB,22.8612,0.54,0.3,0.4,1739,44
MF,31.0968,0.54,0.3,0.4,1739,44
IL,32.7704,0.54,0.3,0.4,1740,50
MB,36.0008,0.54,0.3,0.4,1740,50
MF,51.2288,0.54,0.3,0.4,1740,50
IL,31.7088,0.25,0.3,0.4,1741,50
MB,15.34,0.25,0.3,0.4,1741,50
MF,72.9512,0.25,0.3,0.4,1741,50
IL,18.6028,0.27,0.1,0.4,1742,49
MB,74.4452,0.27,0.1,0.4,1742,49
MF,26.952,0.27,0.1,0.4,1742,49
IL,8.6468,0.01,0.3,0.4,1743,42
MB,5.3668,0.01,0.3,0.4,1743,42
MF,105.9864,0.01,0.3,0.4,1743,42
IL,35.6896,0.25,0.3,0.4,1744,44
MB,15.864710676446618,0.25,0.3,0.4,1744,44
MF,68.7376,0.25,0.3,0.4,1744,44
IL,13.924451665312754,0.29,0.1,0.4,1745,51
MB,68.952,0.29,0.1,0.4,1745,51
MF,37.3352,0.29,0.1,0.4,1745,51
IL,8.5076,0.93,0.1,0.4,1746,51
MB,101.3188,0.93,0.1,0.4,1746,51
MF,10.1736,0.93,0.1,0.4,1746,51
IL,59.6664,0.63,0.3,0.4,1747,50
MB,27.0,0.63,0.3,0.4,1747,50
MF,33.3336,0.63,0.3,0.4,1747,50
IL,73.6248,0.47,0.3,0.4,1748,42
MB,14.682,0.47,0.3,0.4,1748,42
MF,31.6932,0.47,0.3,0.4,1748,42
IL,40.0108,0.63,0.3,0.4,1749,44
MB,52.7348,0.63,0.3,0.4,1749,44
MF,27.2544,0.63,0.3,0.4,1749,44
IL,63.9368,0.91,0.3,0.4,1750,48
MB,46.5616,0.91,0.3,0.4,1750,48
MF,9.5016,0.91,0.3,0.4,1750,48
IL,13.5752,0.29,0.1,0.4,1751,45
MB,63.0508,0.29,0.1,0.4,1751,45
MF,43.374,0.29,0.1,0.4,1751,45
IL,24.6964,0.93,0.1,0.4,1752,45
MB,83.6312,0.93,0.1,0.4,1752,45
MF,11.6724,0.93,0.1,0.4,1752,45
IL,34.6152,0.61,0.1,0.4,1753,49
MB,59.7868,0.61,0.1,0.4,1753,49
MF,25.598,0.61,0.1,0.4,1753,49
IL,24.1512,0.16,0.3,0.4,1754,46
MB,10.0932,0.16,0.3,0.4,1754,46
MF,85.7556,0.16,0.3,0.4,1754,46
IL,17.647508038585208,0.26,0.2,0.4,1755,48
MB,22.0568,0.26,0.2,0.4,1755,48
MF,80.3804,0.26,0.2,0.4,1755,48
IL,37.3856,0.92,0.2,0.4,1756,44
MB,41.3436,0.92,0.2,0.4,1756,44
MF,41.2708,0.92,0.2,0.4,1756,44
IL,29.0344,0.28,0.2,0.4,1757,44
MB,41.7884,0.28,0.2,0.4,1757,44
MF,49.1772,0.28,0.2,0.4,1757,44
IL,16.2876,0.92,0.2,0.4,1758,50
MB,95.8124,0.92,0.2,0.4,1758,50
MF,8.96911898274296,0.92,0.2,0.4,1758,50
IL,31.7844,0.28,0.2,0.4,1759,50
MB,14.8508,0.28,0.2,0.4,1759,50
MF,73.3648,0.28,0.2,0.4,1759,50
IL,15.9616,0.47,0.1,0.4,1760,51
