strategy,count,delta,lambda,kappa,sim,seed
MF,92.8428,0.12,0.2,0.4,70,44
IL,20.0764,0.36,0.2,0.4,71,42
MB,58.586,0.36,0.2,0.4,71,42
MF,41.3376,0.36,0.2,0.4,71,42
IL,18.5476,0.5,0.2,0.4,72,42
MB,69.2904,0.5,0.2,0.4,72,42
MF,32.162,0.5,0.2,0.4,72,42
IL,34.4668,0.47,0.2,0.4,73,42
MB,48.0628,0.47,0.2,0.4,73,42
MF,37.4704,0.47,0.2,0.4,73,42
IL,30.9088,0.63,0.2,0.4,74,44
MB,64.5668,0.63,0.2,0.4,74,44
MF,24.5244,0.63,0.2,0.4,74,44
IL,32.9536,0.91,0.2,0.4,75,48
MB,70.81,0.91,0.2,0.4,75,48
MF,16.2364,0.91,0.2,0.4,75,48
IL,18.9204,0.51,0.1,0.4,76,47
MB,61.0204,0.51,0.1,0.4,76,47
MF,40.0592,0.51,0.1,0.4,76,47
IL,18.6996,0.63,0.2,0.4,77,50
MB,60.7632,0.63,0.2,0.4,77,50
MF,40.5372,0.63,0.2,0.4,77,50
IL,11.5256,0.01,0.2,0.4,78,42
MB,11.378,0.01,0.2,0.4,78,42
MF,97.0964,0.01,0.2,0.4,78,42
IL,27.014,0.25,0.2,0.4,79,44
MB,21.1376,0.25,0.2,0.4,79,44
MF,71.8484,0.25,0.2,0.4,79,44
IL,21.8564,0.17,0.1,0.4,80,47
MB,31.3292,0.17,0.1,0.4,80,47
MF,66.8144,0.17,0.1,0.4,80,47
IL,28.7528,0.25,0.2,0.4,81,50
MB,17.7008,0.25,0.2,0.4,81,50
MF,73.5464,0.25,0.2,0.4,81,50
IL,79.6928,0.92,0.3,0.4,82,50
MB,33.5964,0.92,0.3,0.4,82,50
MF,7.2690641247833625,0.92,0.3,0.4,82,50
IL,32.7,0.28,0.3,0.4,83,50
MB,12.2992,0.28,0.3,0.4,83,50
MF,75.0008,0.28,0.3,0.4,83,50
IL,18.0072,0.62,0.1,0.4,84,51
MB,94.9804,0.62,0.1,0.4,84,51
MF,7.44100169779287,0.62,0.1,0.4,84,51
IL,12.5004,0.46,0.1,0.4,85,43
MB,87.6244,0.46,0.1,0.4,85,43
MF,19.8752,0.46,0.1,0.4,85,43
IL,8.336,0.62,0.1,0.4,86,45
MB,105.8344,0.62,0.1,0.4,86,45
MF,6.660877513711152,0.62,0.1,0.4,86,45
IL,39.26,0.92,0.3,0.4,87,44
MB,66.9808,0.92,0.3,0.4,87,44
MF,13.7592,0.92,0.3,0.4,87,44
IL,28.9648,0.28,0.3,0.4,88,44
MB,16.6996,0.28,0.3,0.4,88,44
MF,74.3356,0.28,0.3,0.4,88,44
IL,13.598,0.24,0.1,0.4,89,51
MB,49.1676,0.24,0.1,0.4,89,51
MF,57.2344,0.24,0.1,0.4,89,51
IL,9.486334405144694,0.26,0.3,0.4,90,48
MB,13.0116,0.26,0.3,0.4,90,48
MF,97.5476,0.26,0.3,0.4,90,48
IL,25.696,0.16,0.2,0.4,91,46
MB,23.2568,0.16,0.2,0.4,91,46
MF,71.0472,0.16,0.2,0.4,91,46
IL,11.1428,0.24,0.1,0.4,92,45
MB,95.4124,0.24,0.1,0.4,92,45
MF,13.4448,0.24,0.1,0.4,92,45
IL,18.88,0.24,0.1,0.4,93,44
MB,21.828,0.24,0.1,0.4,93,44
MF,79.292,0.24,0.1,0.4,93,44
IL,15.3108,0.16,0.2,0.4,94,47
MB,18.6688,0.16,0.2,0.4,94,47
MF,86.0204,0.16,0.2,0.4,94,47
IL,39.9744,0.26,0.3,0.4,95,49
MB,23.571013289036546,0.26,0.3,0.4,95,49
MF,57.322,0.26,0.3,0.4,95,49
IL,10.8932,0.24,0.1,0.4,96,50
MB,46.38,0.24,0.1,0.4,96,50
MF,62.7268,0.24,0.1,0.4,96,50
IL,36.896,0.28,0.3,0.4,97,45
MB,21.6876,0.28,0.3,0.4,97,45
MF,61.4164,0.28,0.3,0.4,97,45
IL,51.8824,0.92,0.3,0.4,98,45
MB,52.748,0.92,0.3,0.4,98,45
MF,15.3696,0.92,0.3,0.4,98,45
IL,13.3092,0.62,0.1,0.4,99,44
MB,90.7392,0.62,0.1,0.4,99,44
MF,15.9516,0.62,0.1,0.4,99,44
IL,19.8984,0.46,0.1,0.4,100,42
MB,92.8928,0.46,0.1,0.4,100,42
MF,7.2088,0.46,0.1,0.4,100,42
IL,17.25,0.62,0.1,0.4,101,50
MB,95.1804,0.62,0.1,0.4,101,50
MF,7.881715951686797,0.62,0.1,0.4,101,50
IL,21.6276,0.28,0.3,0.4,102,51
MB,6.27536231884058,0.28,0.3,0.4,102,51
MF,92.4836,0.28,0.3,0.4,102,51
IL,62.9868,0.92,0.3,0.4,103,51
MB,42.498,0.92,0.3,0.4,103,51
MF,14.5152,0.92,0.3,0.4,103,51
IL,32.8676,0.25,0.2,0.4,104,51
MB,18.8468,0.25,0.2,0.4,104,51
MF,68.2856,0.25,0.2,0.4,104,51
IL,12.770744225834045,0.17,0.1,0.4,105,46
MB,47.3712,0.17,0.1,0.4,105,46
MF,60.6856,0.17,0.1,0.4,105,46
IL,13.1636,0.25,0.2,0.4,106,45
MB,72.7084,0.25,0.2,0.4,106,45
MF,34.128,0.25,0.2,0.4,106,45
IL,4.010273972602739,0.01,0.2,0.4,107,43
MB,7.558,0.01,0.2,0.4,107,43
MF,108.6948,0.01,0.2,0.4,107,43
IL,45.8748,0.63,0.2,0.4,108,51
MB,28.126,0.63,0.2,0.4,108,51
MF,45.9992,0.63,0.2,0.4,108,51
IL,41.872,0.91,0.2,0.4,109,49
MB,68.6844,0.91,0.2,0.4,109,49
MF,9.4436,0.91,0.2,0.4,109,49
IL,8.336812525090325,0.51,0.1,0.4,110,46
MB,103.0424,0.51,0.1,0.4,110,46
MF,8.798616761594792,0.51,0.1,0.4,110,46
IL,25.1824,0.63,0.2,0.4,111,45
MB,74.3712,0.63,0.2,0.4,111,45
MF,20.4464,0.63,0.2,0.4,111,45
IL,33.5516,0.47,0.2,0.4,112,43
MB,59.8244,0.47,0.2,0.4,112,43
MF,26.624,0.47,0.2,0.4,112,43
IL,33.2924,0.36,0.2,0.4,113,43
MB,23.1888,0.36,0.2,0.4,113,43
MF,63.5188,0.36,0.2,0.4,113,43
IL,10.654,0.12,0.2,0.4,114,45
MB,16.82,0.12,0.2,0.4,114,45
