strategy,count,delta,lambda,kappa,sim
MF,87.2316,0.8,0.2,0.9,347
IL,68.3328,0.5,0.30000000000000004,0.30000000000000004,348
MB,21.3632,0.5,0.30000000000000004,0.30000000000000004,348
MF,30.304,0.5,0.30000000000000004,0.30000000000000004,348
IL,5.032,0.6000000000000001,0.1,0.9,349
MB,83.9136,0.6000000000000001,0.1,0.9,349
MF,31.0544,0.6000000000000001,0.1,0.9,349
IL,4.686677631578948,0.7000000000000001,0.0,0.8,350
MB,108.4052,0.7000000000000001,0.0,0.8,350
MF,7.0356,0.7000000000000001,0.0,0.8,350
IL,95.7612,0.7000000000000001,0.6000000000000001,0.4,351
MB,8.4588,0.7000000000000001,0.6000000000000001,0.4,351
MF,15.78,0.7000000000000001,0.6000000000000001,0.4,351
IL,47.8224,0.0,0.0,0.0,352
MB,21.5568,0.0,0.0,0.0,352
MF,50.6208,0.0,0.0,0.0,352
IL,4.253968253968254,0.5,1.0,0.9,353
MB,2.659896283491789,0.5,1.0,0.9,353
MF,113.4644,0.5,1.0,0.9,353
IL,20.2716,0.4,0.2,0.5,354
MB,59.3148,0.4,0.2,0.5,354
MF,40.4136,0.4,0.2,0.5,354
IL,109.3856,0.8,0.9,0.1,355
MB,4.193376941946035,0.8,0.9,0.1,355
MF,6.5116,0.8,0.9,0.1,355
IL,3.6755162241887906,0.1,0.1,0.7000000000000001,356
MB,66.9084,0.1,0.1,0.7000000000000001,356
MF,49.6028,0.1,0.1,0.7000000000000001,356
IL,6.4908,1.0,0.4,0.9,357
MB,8.19608659450458,1.0,0.4,0.9,357
MF,105.6344,1.0,0.4,0.9,357
IL,43.1284,0.9,0.3,0.5,358
MB,64.5688,0.9,0.3,0.5,358
MF,12.3028,0.9,0.3,0.5,358
IL,103.9852,0.5,0.8,0.1,359
MB,4.261815140108741,0.5,0.8,0.1,359
MF,11.9388,0.5,0.8,0.1,359
IL,34.3632,0.30000000000000004,0.8,0.4,360
MB,4.425621576064054,0.30000000000000004,0.8,0.4,360
MF,81.436,0.30000000000000004,0.8,0.4,360
IL,3.8019384745048463,0.2,0.5,0.9,361
MB,5.034987794955248,0.2,0.5,0.9,361
MF,111.4408,0.2,0.5,0.9,361
IL,13.5272,0.5,0.1,0.5,362
MB,51.1932,0.5,0.1,0.5,362
MF,55.2796,0.5,0.1,0.5,362
IL,108.4136,0.1,1.0,0.0,363
MB,2.8764805414551606,0.1,1.0,0.0,363
MF,8.89486356340289,0.1,1.0,0.0,363
IL,17.0792,0.2,0.7000000000000001,0.6000000000000001,364
MB,6.99796001631987,0.2,0.7000000000000001,0.6000000000000001,364
MF,96.06,0.2,0.7000000000000001,0.6000000000000001,364
IL,46.5224,0.8,0.4,0.6000000000000001,365
MB,26.2428,0.8,0.4,0.6000000000000001,365
MF,47.2348,0.8,0.4,0.6000000000000001,365
IL,16.0576,0.9,0.6000000000000001,0.7000000000000001,366
MB,9.616,0.9,0.6000000000000001,0.7000000000000001,366
MF,94.3264,0.9,0.6000000000000001,0.7000000000000001,366
IL,42.7576,0.7000000000000001,0.2,0.4,367
MB,33.988,0.7000000000000001,0.2,0.4,367
MF,43.2544,0.7000000000000001,0.2,0.4,367
IL,75.372,0.30000000000000004,0.1,0.0,368
MB,27.208,0.30000000000000004,0.1,0.0,368
MF,17.42,0.30000000000000004,0.1,0.0,368
IL,62.76,0.30000000000000004,0.4,0.2,369
MB,7.428,0.30000000000000004,0.4,0.2,369
MF,49.812,0.30000000000000004,0.4,0.2,369
IL,104.1692,0.5,0.30000000000000004,0.2,370
MB,7.0064,0.5,0.30000000000000004,0.2,370
MF,8.8244,0.5,0.30000000000000004,0.2,370
IL,5.976401179941003,0.1,0.8,0.8,371
MB,2.9784615384615383,0.1,0.8,0.8,371
MF,111.6168,0.1,0.8,0.8,371
IL,16.346,0.9,0.2,0.6000000000000001,372
MB,62.4052,0.9,0.2,0.6000000000000001,372
MF,41.2488,0.9,0.2,0.6000000000000001,372
IL,12.2892,0.6000000000000001,0.9,0.7000000000000001,373
MB,3.3284762697751873,0.6000000000000001,0.9,0.7000000000000001,373
MF,104.5128,0.6000000000000001,0.9,0.7000000000000001,373
IL,5.127863390254061,0.4,0.0,0.7000000000000001,374
MB,103.4984,0.4,0.0,0.7000000000000001,374
MF,11.5768,0.4,0.0,0.7000000000000001,374
IL,6.2804,0.8,0.0,0.5,375
MB,102.0896,0.8,0.0,0.5,375
MF,11.63,0.8,0.0,0.5,375
IL,4.4736,0.9,0.1,0.9,376
MB,75.8796,0.9,0.1,0.9,376
MF,39.6468,0.9,0.1,0.9,376
IL,70.8808,0.6000000000000001,1.0,0.5,377
MB,3.439655172413793,0.6000000000000001,1.0,0.5,377
MF,45.7676,0.6000000000000001,1.0,0.5,377
IL,15.4592,0.1,0.30000000000000004,0.6000000000000001,378
MB,7.744819179195449,0.1,0.30000000000000004,0.6000000000000001,378
MF,96.9168,0.1,0.30000000000000004,0.6000000000000001,378
IL,4.61188369152971,0.0,0.9,0.4,379
MB,2.603628117913832,0.0,0.9,0.4,379
MF,113.326,0.0,0.9,0.4,379
IL,4.20480404551201,0.1,0.4,1.0,380
MB,7.002,0.1,0.4,1.0,380
MF,109.0068,0.1,0.4,1.0,380
IL,9.54,0.7000000000000001,0.7000000000000001,0.8,381
MB,3.9516456724908573,0.7000000000000001,0.7000000000000001,0.8,381
MF,106.57,0.7000000000000001,0.7000000000000001,0.8,381
IL,3.156763590391909,0.4,0.0,0.9,382
MB,99.2496,0.4,0.0,0.9,382
MF,17.754,0.4,0.0,0.9,382
IL,93.1032,0.8,0.7000000000000001,0.3,383
MB,4.612,0.8,0.7000000000000001,0.3,383
MF,22.2848,0.8,0.7000000000000001,0.3,383
IL,28.5076,0.2,0.4,0.4,384
MB,8.3812,0.2,0.4,0.4,384
MF,83.1112,0.2,0.4,0.4,384
IL,97.6468,0.8,1.0,0.4,385
MB,5.898538961038961,0.8,1.0,0.4,385
MF,16.5396,0.8,1.0,0.4,385
IL,5.890096618357488,0.30000000000000004,0.9,0.9,386
MB,3.041823504809703,0.30000000000000004,0.9,0.9,386
MF,111.2384,0.30000000000000004,0.9,0.9,386
IL,8.3132,0.9,0.2,0.8,387
MB,20.7128,0.9,0.2,0.8,387
MF,90.974,0.9,0.2,0.8,387
IL,87.4568,1.0,0.5,0.4,388
MB,18.3451290591174,1.0,0.5,0.4,388
MF,14.9172,1.0,0.5,0.4,388
IL,4.811428571428571,0.1,0.30000000000000004,1.0,389
MB,6.266,0.1,0.30000000000000004,1.0,389
MF,109.0188,0.1,0.30000000000000004,1.0,389
IL,34.4908,0.9,0.5,0.6000000000000001,390
MB,10.480578512396693,0.9,0.5,0.6000000000000001,390
MF,75.364,0.9,0.5,0.6000000000000001,390
IL,5.86655615416494,0.2,0.6000000000000001,0.8,391
MB,3.4041952400161355,0.2,0.6000000000000001,0.8,391
MF,110.962,0.2,0.6000000000000001,0.8,391
IL,104.8012,1.0,0.7000000000000001,0.2,392
MB,5.0916,1.0,0.7000000000000001,0.2,392
MF,10.1072,1.0,0.7000000000000001,0.2,392
IL,5.6497788500201045,0.5,0.1,0.7000000000000001,393
MB,56.95,0.5,0.1,0.7000000000000001,393
MF,57.4296,0.5,0.1,0.7000000000000001,393
IL,23.1248,0.1,0.0,0.1,394
MB,78.4496,0.1,0.0,0.1,394
MF,18.4256,0.1,0.0,0.1,394
IL,80.6924,0.8,0.30000000000000004,0.4,395
MB,24.026,0.8,0.30000000000000004,0.4,395
MF,15.2816,0.8,0.30000000000000004,0.4,395
IL,90.4444,0.30000000000000004,0.2,0.1,396
MB,7.848446683459278,0.30000000000000004,0.2,0.1,396
MF,22.0776,0.30000000000000004,0.2,0.1,396
IL,10.368,0.4,1.0,0.8,397
MB,2.9308370044052863,0.4,1.0,0.8,397
MF,106.9708,0.4,1.0,0.8,397
IL,35.9052,0.5,0.2,0.4,398
MB,31.706,0.5,0.2,0.4,398
MF,52.3888,0.5,0.2,0.4,398
IL,111.55,0.9,0.9,0.0,399
MB,4.874302874302875,0.9,0.9,0.0,399
MF,4.295204575450946,0.9,0.9,0.0,399
IL,6.3944,0.7000000000000001,0.1,0.5,400
MB,108.706,0.7000000000000001,0.1,0.5,400
MF,5.04489291598023,0.7000000000000001,0.1,0.5,400
IL,11.561382113821137,0.6000000000000001,0.0,0.4,401
MB,89.8616,0.6000000000000001,0.0,0.4,401
MF,18.762,0.6000000000000001,0.0,0.4,401
IL,110.9432,0.4,0.8,0.0,402
MB,3.1376681614349775,0.4,0.8,0.0,402
MF,6.443574958813839,0.4,0.8,0.0,402
IL,100.7984,0.9,0.6000000000000001,0.3,403
MB,8.884440775897648,0.9,0.6000000000000001,0.3,403
MF,10.802529579763362,0.9,0.6000000000000001,0.3,403
IL,97.8812,0.30000000000000004,0.6000000000000001,0.0,404
MB,4.0550576184379,0.30000000000000004,0.6000000000000001,0.0,404
MF,18.3184,0.30000000000000004,0.6000000000000001,0.0,404
IL,5.711121157323689,1.0,0.6000000000000001,1.0,405
MB,3.3417515274949086,1.0,0.6000000000000001,1.0,405
MF,111.6652,1.0,0.6000000000000001,1.0,405
IL,31.074,0.5,0.0,0.1,406
MB,82.264,0.5,0.0,0.1,406
MF,6.662,0.5,0.0,0.1,406
IL,10.2508,0.2,0.1,0.6000000000000001,407
MB,40.6176,0.2,0.1,0.6000000000000001,407
MF,69.1316,0.2,0.1,0.6000000000000001,407
IL,12.162,0.30000000000000004,0.2,0.7000000000000001,408
MB,10.366,0.30000000000000004,0.2,0.7000000000000001,408
MF,97.472,0.30000000000000004,0.2,0.7000000000000001,408
IL,12.0348,0.30000000000000004,0.0,0.4,409
MB,82.4292,0.30000000000000004,0.0,0.4,409
MF,25.536,0.30000000000000004,0.0,0.4,409
IL,4.641056910569105,0.7000000000000001,0.4,1.0,410
MB,10.8088,0.7000000000000001,0.4,1.0,410
MF,104.6244,0.7000000000000001,0.4,1.0,410
IL,50.1428,0.1,0.6000000000000001,0.2,411
MB,4.125902165196472,0.1,0.6000000000000001,0.2,411
MF,65.7412,0.1,0.6000000000000001,0.2,411
IL,107.2804,0.6000000000000001,0.2,0.1,412
MB,5.955555555555556,0.6000000000000001,0.2,0.1,412
MF,7.006469874646179,0.6000000000000001,0.2,0.1,412
IL,56.03,0.8,0.1,0.1,413
MB,59.1344,0.8,0.1,0.1,413
MF,4.948424068767908,0.8,0.1,0.1,413
IL,10.5972,0.4,0.30000000000000004,0.6000000000000001,414
MB,11.901071723000824,0.4,0.30000000000000004,0.6000000000000001,414
MF,97.854,0.4,0.30000000000000004,0.6000000000000001,414
IL,9.4768,0.7000000000000001,0.8,0.8,415
MB,3.441725425134799,0.7000000000000001,0.8,0.8,415
MF,107.204,0.7000000000000001,0.8,0.8,415
IL,22.7904,0.30000000000000004,0.7000000000000001,0.5,416
MB,5.7656,0.30000000000000004,0.7000000000000001,0.5,416
MF,91.444,0.30000000000000004,0.7000000000000001,0.5,416
IL,88.532,0.0,0.8,0.0,417
MB,3.6117913832199546,0.0,0.8,0.0,417
MF,28.2824,0.0,0.8,0.0,417
IL,11.7308,0.1,0.2,0.4,418
MB,15.5048,0.1,0.2,0.4,418
MF,92.7644,0.1,0.2,0.4,418
IL,5.3228,0.1,0.7000000000000001,1.0,419
MB,6.0476386036960985,0.1,0.7000000000000001,1.0,419
MF,108.7868,0.1,0.7000000000000001,1.0,419
IL,112.3484,0.7000000000000001,1.0,0.0,420
MB,2.893339138006095,0.7000000000000001,1.0,0.0,420
MF,5.078519121236778,0.7000000000000001,1.0,0.0,420
IL,65.9812,1.0,0.2,0.3,421
MB,39.2512,1.0,0.2,0.3,421
MF,14.7676,1.0,0.2,0.3,421
IL,13.1332,0.6000000000000001,0.9,0.9,422
MB,4.158135663753641,0.6000000000000001,0.9,0.9,422
MF,102.87,0.6000000000000001,0.9,0.9,422
IL,3.9068689422671725,0.0,1.0,0.8,423
MB,2.81881051175657,0.0,1.0,0.8,423
MF,113.846,0.0,1.0,0.8,423
IL,104.8672,0.2,0.5,0.0,424
MB,3.2110091743119265,0.2,0.5,0.0,424
MF,12.1928,0.2,0.5,0.0,424
IL,5.488,1.0,0.3,1.0,425
MB,19.014950166112957,1.0,0.3,1.0,425
MF,96.1968,1.0,0.3,1.0,425
IL,4.933493589743589,0.5,0.8,0.8,426
MB,3.3431160984031076,0.5,0.8,0.8,426
MF,111.976,0.5,0.8,0.8,426
IL,4.074468085106383,0.2,0.2,1.0,427
MB,8.29,0.2,0.2,1.0,427
MF,107.7268,0.2,0.2,1.0,427
IL,107.64,1.0,0.4,0.0,428
MB,7.0752,1.0,0.4,0.0,428
MF,5.293269230769231,1.0,0.4,0.0,428
IL,26.5312,1.0,0.1,0.2,429
MB,85.6936,1.0,0.1,0.2,429
MF,7.7752,1.0,0.1,0.2,429
IL,6.7264,0.0,0.7000000000000001,0.2,430
MB,4.956,0.0,0.7000000000000001,0.2,430
MF,108.3176,0.0,0.7000000000000001,0.2,430
IL,37.6504,0.30000000000000004,1.0,0.5,431
MB,3.043308791684712,0.30000000000000004,1.0,0.5,431
MF,79.5388,0.30000000000000004,1.0,0.5,431
IL,12.9216,0.8,0.9,0.8,432
MB,3.2272350993377485,0.8,0.9,0.8,432
MF,103.9596,0.8,0.9,0.8,432
IL,109.0312,0.5,1.0,0.0,433
MB,2.720575414123801,0.5,1.0,0.0,433
MF,8.4724,0.5,1.0,0.0,433
IL,7.2312,0.1,0.1,0.5,434
MB,49.2764,0.1,0.1,0.5,434
MF,63.4924,0.1,0.1,0.5,434
IL,10.0788,0.2,0.0,0.2,435
MB,97.0944,0.2,0.0,0.2,435
MF,12.8268,0.2,0.0,0.2,435
IL,11.559294871794872,0.30000000000000004,0.5,0.7000000000000001,436
MB,5.932921810699589,0.30000000000000004,0.5,0.7000000000000001,436
MF,102.6924,0.30000000000000004,0.5,0.7000000000000001,436
IL,4.812895069532238,0.5,0.4,1.0,437
MB,8.1744,0.5,0.4,1.0,437
MF,107.2572,0.5,0.4,1.0,437
IL,3.2169691853102576,0.0,0.0,0.9,438
MB,75.826,0.0,0.0,0.9,438
MF,41.1256,0.0,0.0,0.9,438
IL,92.8684,0.9,0.8,0.4,439
MB,8.0876,0.9,0.8,0.4,439
MF,19.044,0.9,0.8,0.4,439
IL,55.276,0.7000000000000001,0.0,0.1,440
MB,59.5708,0.7000000000000001,0.0,0.1,440
MF,5.196853569987899,0.7000000000000001,0.0,0.1,440
IL,96.9084,0.6000000000000001,0.4,0.2,441
MB,11.2348,0.6000000000000001,0.4,0.2,441
MF,11.8568,0.6000000000000001,0.4,0.2,441
IL,87.3988,0.6000000000000001,0.1,0.0,442
MB,26.9716,0.6000000000000001,0.1,0.0,442
MF,5.6296,0.6000000000000001,0.1,0.0,442
IL,3.8725722406442444,1.0,1.0,1.0,443
MB,3.197829716193656,1.0,1.0,1.0,443
MF,113.6652,1.0,1.0,1.0,443
IL,53.9732,0.4,0.9,0.4,444
MB,4.933415536374846,0.4,0.9,0.4,444
MF,61.2256,0.4,0.9,0.4,444
IL,108.2136,0.8,0.2,0.0,445
MB,6.92,0.8,0.2,0.0,445
MF,5.131168283424715,0.8,0.2,0.0,445
IL,4.460297766749379,0.7000000000000001,0.0,0.6000000000000001,446
MB,103.6676,0.7000000000000001,0.0,0.6000000000000001,446
MF,12.0184,0.7000000000000001,0.0,0.6000000000000001,446
IL,2.6897425073870833,0.0,0.6000000000000001,1.0,447
MB,2.6785249457700653,0.0,0.6000000000000001,1.0,447
MF,114.9816,0.0,0.6000000000000001,1.0,447
IL,5.9956,0.8,0.5,1.0,448
MB,5.30146460537022,0.8,0.5,1.0,448
MF,108.792,0.8,0.5,1.0,448
IL,100.0432,0.9,0.4,0.2,449
MB,10.5912,0.9,0.4,0.2,449
MF,9.3656,0.9,0.4,0.2,449
IL,48.9904,0.6000000000000001,0.4,0.6000000000000001,450
MB,9.876,0.6000000000000001,0.4,0.6000000000000001,450
MF,61.1336,0.6000000000000001,0.4,0.6000000000000001,450
IL,94.8608,0.4,0.0,0.0,451
MB,20.8184,0.4,0.0,0.0,451
MF,4.3591606133979015,0.4,0.0,0.0,451
IL,108.6376,0.7000000000000001,0.7000000000000001,0.1,452
MB,3.110563090834361,0.7000000000000001,0.7000000000000001,0.1,452
MF,8.52967662709783,0.7000000000000001,0.7000000000000001,0.1,452
IL,57.0232,0.9,0.7000000000000001,0.7000000000000001,453
MB,10.4472,0.9,0.7000000000000001,0.7000000000000001,453
MF,52.5296,0.9,0.7000000000000001,0.7000000000000001,453
IL,76.6728,0.6000000000000001,0.8,0.4,454
MB,3.994840928632846,0.6000000000000001,0.8,0.4,454
MF,39.6104,0.6000000000000001,0.8,0.4,454
IL,21.9648,0.2,0.6000000000000001,0.6000000000000001,455
MB,5.308684436801376,0.2,0.6000000000000001,0.6000000000000001,455
MF,93.096,0.2,0.6000000000000001,0.6000000000000001,455
IL,6.5608,0.5,0.7000000000000001,1.0,456
MB,4.775672102247686,0.5,0.7000000000000001,1.0,456
MF,109.1048,0.5,0.7000000000000001,1.0,456
IL,46.9908,0.7000000000000001,0.9,0.5,457
MB,6.159118727050184,0.7000000000000001,0.9,0.5,457
MF,66.9708,0.7000000000000001,0.9,0.5,457
IL,14.027158492095662,0.8,0.9,0.7000000000000001,458
MB,3.9264,0.8,0.9,0.7000000000000001,458
MF,102.2316,0.8,0.9,0.7000000000000001,458
IL,104.5524,0.9,0.1,0.0,459
MB,12.1642591828312,0.9,0.1,0.0,459
MF,4.023317201935768,0.9,0.1,0.0,459
IL,103.372,0.4,0.5,0.2,460
MB,3.3047375160051216,0.4,0.5,0.2,460
MF,13.5308,0.4,0.5,0.2,460
IL,86.3448,0.9,1.0,0.6000000000000001,461
MB,5.777075431942689,0.9,1.0,0.6000000000000001,461
MF,28.1716,0.9,1.0,0.6000000000000001,461
IL,61.91,0.1,0.8,0.1,462
MB,3.249367088607595,0.1,0.8,0.1,462
MF,55.0096,0.1,0.8,0.1,462
IL,4.2587442056468605,0.30000000000000004,0.1,0.9,463
MB,40.58,0.30000000000000004,0.1,0.9,463
MF,75.3776,0.30000000000000004,0.1,0.9,463
IL,4.6432,0.0,0.2,0.5,464
MB,6.9396,0.0,0.2,0.5,464
MF,108.4172,0.0,0.2,0.5,464
IL,6.0372,1.0,0.0,0.7000000000000001,465
MB,75.356,1.0,0.0,0.7000000000000001,465
MF,38.6068,1.0,0.0,0.7000000000000001,465
IL,8.7976,0.1,1.0,0.9,466
MB,2.5604821351700386,0.1,1.0,0.9,466
MF,108.8232,0.1,1.0,0.9,466
IL,96.7092,0.5,0.6000000000000001,0.2,467
MB,6.744,0.5,0.6000000000000001,0.2,467
MF,17.037479406919275,0.5,0.6000000000000001,0.2,467
IL,5.7664,0.30000000000000004,0.6000000000000001,0.9,468
MB,4.453913043478261,0.30000000000000004,0.6000000000000001,0.9,468
MF,110.136,0.30000000000000004,0.6000000000000001,0.9,468
IL,4.8564,0.4,0.8,0.9,469
MB,3.7575883575883577,0.4,0.8,0.9,469
MF,111.5288,0.4,0.8,0.9,469
IL,6.834485563237088,0.9,0.9,0.9,470
MB,5.067124949454104,0.9,0.9,0.9,470
MF,108.2652,0.9,0.9,0.9,470
IL,27.9812,0.9,0.8,0.7000000000000001,471
MB,6.5108,0.9,0.8,0.7000000000000001,471
MF,85.508,0.9,0.8,0.7000000000000001,471
IL,7.4848,0.0,0.1,0.4,472
MB,24.9496,0.0,0.1,0.4,472
MF,87.5656,0.0,0.1,0.4,472
IL,8.8548,0.30000000000000004,0.2,0.8,473
MB,14.6676,0.30000000000000004,0.2,0.8,473
MF,96.4776,0.30000000000000004,0.2,0.8,473
IL,106.9656,0.4,1.0,0.1,474
MB,2.6900931414055886,0.4,1.0,0.1,474
MF,10.4928,0.4,1.0,0.1,474
IL,6.4392,0.4,0.6000000000000001,1.0,475
MB,4.9748,0.4,0.6000000000000001,1.0,475
MF,108.586,0.4,0.6000000000000001,1.0,475
IL,3.459755583649389,0.1,0.0,0.8,476
MB,65.082,0.1,0.0,0.8,476
MF,51.634,0.1,0.0,0.8,476
IL,87.5,0.8,0.8,0.5,477
MB,6.8636,0.8,0.8,0.5,477
MF,25.6364,0.8,0.8,0.5,477
IL,79.5548,0.2,0.6000000000000001,0.1,478
MB,3.4376269809020723,0.2,0.6000000000000001,0.1,478
MF,37.0612,0.2,0.6000000000000001,0.1,478
IL,45.398,0.5,0.9,0.5,479
MB,3.283274956217163,0.5,0.9,0.5,479
MF,71.6024,0.5,0.9,0.5,479
IL,89.3844,0.9,0.2,0.1,480
MB,24.8688,0.9,0.2,0.1,480
MF,6.21948051948052,0.9,0.2,0.1,480
IL,102.1668,0.4,0.7000000000000001,0.2,481
MB,4.946335602723268,0.4,0.7000000000000001,0.2,481
MF,12.8928,0.4,0.7000000000000001,0.2,481
IL,103.4728,0.30000000000000004,0.9,0.0,482
MB,2.961734693877551,0.30000000000000004,0.9,0.0,482
MF,13.7408,0.30000000000000004,0.9,0.0,482
IL,12.1112,0.6000000000000001,0.1,0.5,483
MB,98.6596,0.6000000000000001,0.1,0.5,483
MF,9.2292,0.6000000000000001,0.1,0.5,483
IL,16.8672,0.8,0.2,0.5,484
MB,92.248,0.8,0.2,0.5,484
MF,10.8848,0.8,0.2,0.5,484
IL,92.2268,0.4,0.9,0.1,485
MB,2.8616617460986924,0.4,0.9,0.1,485
MF,25.0592,0.4,0.9,0.1,485
IL,8.3096,0.9,1.0,0.9,486
MB,5.136,0.9,1.0,0.9,486
MF,106.5544,0.9,1.0,0.9,486
IL,13.8864,0.7000000000000001,0.6000000000000001,0.8,487
MB,5.8056,0.7000000000000001,0.6000000000000001,0.8,487
MF,100.308,0.7000000000000001,0.6000000000000001,0.8,487
IL,98.536,0.8,0.6000000000000001,0.3,488
MB,7.1748,0.8,0.6000000000000001,0.3,488
MF,14.2892,0.8,0.6000000000000001,0.3,488
IL,110.9248,0.9,0.8,0.1,489
MB,4.388072238555229,0.9,0.8,0.1,489
MF,4.9156626506024095,0.9,0.8,0.1,489
IL,8.4328,0.7000000000000001,0.0,0.4,490
MB,106.0164,0.7000000000000001,0.0,0.4,490
MF,5.722474226804124,0.7000000000000001,0.0,0.4,490
IL,6.6144,0.5,0.30000000000000004,1.0,491
MB,9.4292,0.5,0.30000000000000004,1.0,491
MF,103.9564,0.5,0.30000000000000004,1.0,491
IL,4.588706278971766,0.30000000000000004,0.4,1.0,492
MB,5.020106688551498,0.30000000000000004,0.4,1.0,492
MF,110.7508,0.30000000000000004,0.4,1.0,492
IL,44.2468,0.8,0.5,0.6000000000000001,493
MB,10.8204,0.8,0.5,0.6000000000000001,493
MF,64.9328,0.8,0.5,0.6000000000000001,493
IL,99.1028,0.8,0.5,0.30000000000000004,494
MB,14.9064,0.8,0.5,0.30000000000000004,494
MF,6.05375909458367,0.8,0.5,0.30000000000000004,494
IL,9.9776,0.4,0.2,0.9,495
MB,15.5008,0.4,0.2,0.9,495
MF,94.5216,0.4,0.2,0.9,495
IL,95.4792,0.30000000000000004,1.0,0.0,496
MB,2.8136439267886857,0.30000000000000004,1.0,0.0,496
MF,21.8152,0.30000000000000004,1.0,0.0,496
IL,13.2432,0.5,0.6000000000000001,0.6000000000000001,497
MB,3.6428,0.5,0.6000000000000001,0.6000000000000001,497
MF,103.114,0.5,0.6000000000000001,0.6000000000000001,497
IL,3.724039247751431,0.0,0.6000000000000001,0.6000000000000001,498
MB,4.331626120358515,0.0,0.6000000000000001,0.6000000000000001,498
MF,112.2968,0.0,0.6000000000000001,0.6000000000000001,498
IL,90.3412,0.1,0.1,0.0,499
MB,8.437929640113223,0.1,0.1,0.0,499
MF,21.312,0.1,0.1,0.0,499
IL,44.6876,0.5,1.0,0.5,500
MB,2.9150943396226414,0.5,1.0,0.5,500
MF,72.7168,0.5,1.0,0.5,500
IL,22.8984,0.2,0.5,0.5,501
MB,4.25948018747337,0.2,0.5,0.5,501
MF,93.1028,0.2,0.5,0.5,501
IL,19.8512,0.9,0.3,0.6000000000000001,502
MB,89.24,0.9,0.3,0.6000000000000001,502
MF,10.9088,0.9,0.3,0.6000000000000001,502
IL,9.6532,0.30000000000000004,0.8,0.8,503
MB,3.1256432246998287,0.30000000000000004,0.8,0.8,503
MF,107.4312,0.30000000000000004,0.8,0.8,503
IL,38.836,0.1,0.4,0.2,504
MB,5.6968,0.1,0.4,0.2,504
MF,75.4672,0.1,0.4,0.2,504
IL,6.3528,0.4,0.1,0.7000000000000001,505
MB,66.1384,0.4,0.1,0.7000000000000001,505
MF,47.5088,0.4,0.1,0.7000000000000001,505
IL,12.9676,0.9,0.3,0.9,506
MB,13.2864,0.9,0.3,0.9,506
MF,93.746,0.9,0.3,0.9,506
IL,56.4148,1.0,0.4,0.5,507
MB,42.084,1.0,0.4,0.5,507
MF,21.5012,1.0,0.4,0.5,507
IL,12.802,0.6000000000000001,0.8,0.7000000000000001,508
MB,3.4408555216062853,0.6000000000000001,0.8,0.7000000000000001,508
MF,104.0448,0.6000000000000001,0.8,0.7000000000000001,508
IL,28.4148,0.1,0.30000000000000004,0.2,509
MB,6.990610328638498,0.1,0.30000000000000004,0.2,509
MF,85.0336,0.1,0.30000000000000004,0.2,509
IL,55.4244,0.1,0.2,0.1,510
MB,26.1864,0.1,0.2,0.1,510
MF,38.3892,0.1,0.2,0.1,510
IL,74.3524,0.7000000000000001,1.0,0.5,511
MB,2.933920704845815,0.7000000000000001,1.0,0.5,511
MF,42.9836,0.7000000000000001,1.0,0.5,511
IL,48.6024,0.6000000000000001,1.0,0.6000000000000001,512
MB,3.183243912505159,0.6000000000000001,1.0,0.6000000000000001,512
MF,68.3124,0.6000000000000001,1.0,0.6000000000000001,512
IL,16.5784,0.6000000000000001,0.30000000000000004,0.7000000000000001,513
MB,13.662,0.6000000000000001,0.30000000000000004,0.7000000000000001,513
MF,89.7596,0.6000000000000001,0.30000000000000004,0.7000000000000001,513
IL,5.347756410256411,0.4,0.1,0.8,514
MB,35.1984,0.4,0.1,0.8,514
MF,79.4624,0.4,0.1,0.8,514
IL,101.3888,0.9,0.7000000000000001,0.3,515
MB,7.4548,0.9,0.7000000000000001,0.3,515
MF,11.1564,0.9,0.7000000000000001,0.3,515
IL,3.3343220338983053,0.9,0.0,0.8,516
MB,110.686,0.9,0.0,0.8,516
MF,6.173808570284341,0.9,0.0,0.8,516
IL,26.5116,0.1,0.7000000000000001,0.30000000000000004,517
MB,4.44023569023569,0.1,0.7000000000000001,0.30000000000000004,517
MF,89.2684,0.1,0.7000000000000001,0.30000000000000004,517
IL,98.2096,0.30000000000000004,0.7000000000000001,0.0,518
MB,5.24259832081308,0.30000000000000004,0.7000000000000001,0.0,518
MF,17.0448,0.30000000000000004,0.7000000000000001,0.0,518
IL,5.788874841972187,0.0,0.8,0.5,519
MB,4.146533831465338,0.0,0.8,0.5,519
MF,110.5096,0.0,0.8,0.5,519
IL,5.6836,1.0,0.7000000000000001,1.0,520
MB,5.324,1.0,0.7000000000000001,1.0,520
MF,108.9924,1.0,0.7000000000000001,1.0,520
IL,3.9314903846153846,0.1,0.9,0.9,521
MB,3.243360905528951,0.1,0.9,0.9,521
MF,113.0948,0.1,0.9,0.9,521
IL,28.8828,0.6000000000000001,0.2,0.4,522
MB,37.1084,0.6000000000000001,0.2,0.4,522
MF,54.0088,0.6000000000000001,0.2,0.4,522
IL,7.146,0.2,0.7000000000000001,0.8,523
MB,3.7152156224572823,0.2,0.7000000000000001,0.8,523
MF,109.2012,0.2,0.7000000000000001,0.8,523
IL,55.2788,0.9,0.4,0.6000000000000001,524
MB,22.8184,0.9,0.4,0.6000000000000001,524
MF,41.9028,0.9,0.4,0.6000000000000001,524
IL,7.8492,0.8,0.1,0.4,525
