strategy,count,delta,lambda,kappa,sim
MB,7.266,0.30000000000000004,0.5,0.9,52
MF,106.5132,0.30000000000000004,0.5,0.9,52
IL,9.3512,0.30000000000000004,0.30000000000000004,0.9,53
MB,14.9908,0.30000000000000004,0.30000000000000004,0.9,53
MF,95.658,0.30000000000000004,0.30000000000000004,0.9,53
IL,24.5912,0.2,0.30000000000000004,0.5,54
MB,8.2472,0.2,0.30000000000000004,0.5,54
MF,87.1616,0.2,0.30000000000000004,0.5,54
IL,101.8856,0.4,0.6000000000000001,0.1,55
MB,9.846,0.4,0.6000000000000001,0.1,55
MF,8.379002837454397,0.4,0.6000000000000001,0.1,55
IL,97.2972,1.0,0.9,0.4,56
MB,5.6568,1.0,0.9,0.4,56
MF,17.046,1.0,0.9,0.4,56
IL,77.6848,0.2,0.7000000000000001,0.2,57
MB,5.6756,0.2,0.7000000000000001,0.2,57
MF,36.6396,0.2,0.7000000000000001,0.2,57
IL,5.502,0.4,1.0,1.0,58
MB,3.434394904458599,0.4,1.0,1.0,58
MF,111.2628,0.4,1.0,1.0,58
IL,6.8584,1.0,0.6000000000000001,0.8,59
MB,5.409648405560098,1.0,0.6000000000000001,0.8,59
MF,107.8488,1.0,0.6000000000000001,0.8,59
IL,5.006009615384615,0.1,0.0,0.6000000000000001,60
MB,72.1372,0.1,0.0,0.6000000000000001,60
MF,42.8648,0.1,0.0,0.6000000000000001,60
IL,7.1856,0.9,0.2,1.0,61
MB,32.7484,0.9,0.2,1.0,61
MF,80.066,0.9,0.2,1.0,61
IL,96.3984,0.7000000000000001,0.5,0.30000000000000004,62
MB,10.777464788732395,0.7000000000000001,0.5,0.30000000000000004,62
MF,12.8888,0.7000000000000001,0.5,0.30000000000000004,62
IL,5.621105110095555,0.2,0.6000000000000001,1.0,63
MB,4.514217060472567,0.2,0.6000000000000001,1.0,63
MF,110.0792,0.2,0.6000000000000001,1.0,63
IL,4.4964,0.30000000000000004,0.9,0.7000000000000001,64
