strategy,avg_payoff,delta,kappa,sim
MF,0.3084478181328048,0.30000000000000004,0.5,110
IL,0.09922967254967244,0.2,0.9,111
MF,0.20495659562755492,0.2,0.9,111
IL,0.19802247575472334,0.1,0.8,112
MF,0.33292402802481086,0.1,0.8,112
IL,0.4957855202335851,0.8,0.5,113
MF,0.15915421463700244,0.8,0.5,113
IL,0.6941044429572611,0.8,0.30000000000000004,114
MF,0.16885134346633288,0.8,0.30000000000000004,114
IL,0.3966592453969087,0.6000000000000001,0.6000000000000001,115
MF,0.23708711786586364,0.6000000000000001,0.6000000000000001,115
IL,0.6941648399662996,0.9,0.30000000000000004,116
MF,0.09254213974270312,0.9,0.30000000000000004,116
IL,0.9917991105559306,0.2,0.0,117
MF,0.7686318328646421,0.2,0.0,117
IL,0.0,0.5,1.0,118
MF,0.07059558289818647,0.5,1.0,118
IL,0.1984106258116261,0.9,0.8,119
MF,0.012850523435926731,0.9,0.8,119
IL,0.3967436122060583,0.4,0.6000000000000001,120
MF,0.29439248664404183,0.4,0.6000000000000001,120
IL,0.8925263997207489,0.1,0.1,121
MF,0.8022582907272318,0.1,0.1,121
